step,loss,bpc,acc,gnorm,lr,elapsed_s
86,4.859600,7.0109,0.138274,828.4352,0.001000,250.3
87,4.856507,7.0065,0.135891,44.4115,0.001000,253.3
88,4.844630,6.9893,0.137648,45.1650,0.001000,256.3
89,4.834373,6.9745,0.136893,43.8239,0.001000,259.3
90,4.842530,6.9863,0.137436,80.7605,0.001000,262.3
91,4.813136,6.9439,0.136542,33.1681,0.001000,265.2
92,4.811558,6.9416,0.137245,30.0888,0.001000,268.2
93,4.789154,6.9093,0.136201,9.4477,0.001000,271.2
94,4.790810,6.9117,0.136853,12.9056,0.001000,274.2
95,4.781511,6.8983,0.137195,6.8831,0.001000,277.7
96,4.784118,6.9020,0.138989,27.1810,0.001000,281.1
97,4.773260,6.8864,0.141953,35.7478,0.001000,284.0
98,4.784922,6.9032,0.138817,22.8789,0.001000,287.0
99,4.747893,6.8498,0.139812,18.6547,0.001000,289.9
100,4.753634,6.8581,0.141585,5.8938,0.001000,293.0
101,4.762065,6.8702,0.145545,31.4729,0.001000,296.0
102,4.764122,6.8732,0.141731,7.9350,0.001000,298.9
103,4.753903,6.8585,0.146933,13.1533,0.001000,301.8
104,4.752600,6.8566,0.142441,78.7941,0.001000,304.7
105,4.744277,6.8446,0.145610,8.4055,0.001000,308.0
106,4.736902,6.8339,0.139360,27.6269,0.001000,311.0
107,4.733035,6.8283,0.139332,14.5975,0.001000,314.0
108,4.716538,6.8045,0.143028,27.3389,0.001000,317.0
109,4.723315,6.8143,0.142345,6.3068,0.001000,320.0
110,4.713994,6.8009,0.147710,26.1938,0.001000,322.8
111,4.737508,6.8348,0.139956,10.2385,0.001000,325.9
112,4.710808,6.7963,0.143982,17.6910,0.001000,328.8
113,4.699137,6.7794,0.143492,5.3998,0.001000,331.8
114,4.698150,6.7780,0.149002,5.7048,0.001000,334.6
115,4.708044,6.7923,0.149667,4.5670,0.001000,337.7
116,4.709857,6.7949,0.147023,19.6283,0.001000,340.6
117,4.711145,6.7968,0.142833,7.8742,0.001000,343.7
118,4.674587,6.7440,0.146571,7.2612,0.001000,346.5
119,4.687752,6.7630,0.149443,123.0825,0.001000,349.5
120,4.660430,6.7236,0.146687,12.2903,0.001000,352.5
121,4.695644,6.7744,0.144570,492.2493,0.001000,355.4
122,4.650106,6.7087,0.151018,9.3914,0.001000,358.5
123,4.713967,6.8008,0.145566,163.2452,0.001000,361.4
124,4.674924,6.7445,0.148586,49.3541,0.001000,364.3
125,4.665231,6.7305,0.146913,50.5052,0.001000,367.2
126,4.676276,6.7465,0.148758,4123.2334,0.001000,370.0
127,4.696783,6.7760,0.147044,37.0976,0.001000,373.1
128,4.642188,6.6973,0.149136,437.1385,0.001000,376.1
129,4.673208,6.7420,0.143858,75.0985,0.001000,379.2
130,4.655281,6.7162,0.149820,56.4143,0.001000,382.3
131,4.663321,6.7278,0.151984,135.2580,0.001000,385.3
132,4.668160,6.7348,0.145417,11542.2119,0.001000,388.4
133,4.648792,6.7068,0.148623,3268.8113,0.001000,391.3
134,4.673128,6.7419,0.145844,646.2931,0.001000,394.4
135,4.680308,6.7523,0.148319,41.1472,0.001000,397.3
136,4.660238,6.7233,0.152029,203.6667,0.001000,400.2
137,4.660017,6.7230,0.144496,545.1175,0.001000,403.1
138,4.648652,6.7066,0.149974,120.7662,0.001000,406.2
139,4.650512,6.7093,0.149684,1802.1051,0.001000,409.1
140,4.625260,6.6729,0.153042,96.1011,0.001000,412.1
141,4.680959,6.7532,0.145032,4849.0127,0.001000,415.0
142,4.650854,6.7098,0.151546,162.1685,0.001000,418.1
143,4.672176,6.7405,0.140216,98.7048,0.001000,421.1
144,4.659298,6.7220,0.147064,869.6101,0.001000,424.1
145,4.646167,6.7030,0.151903,1315.0172,0.001000,427.0
146,4.662539,6.7266,0.147347,279.0426,0.001000,429.9
147,4.662325,6.7263,0.149307,764.3425,0.001000,432.9
148,4.643106,6.6986,0.151205,53.0702,0.001000,436.0
149,4.651739,6.7111,0.148262,74.0700,0.001000,438.9
150,4.661435,6.7251,0.148642,5112.8682,0.001000,441.9
151,4.657657,6.7196,0.148983,63.8349,0.001000,444.8
152,4.640174,6.6944,0.149768,176.2827,0.001000,447.6
