step,loss,bpc,acc,gnorm,lr,elapsed_s
103,4.609780,6.6505,0.155134,0.1450,0.001000,279.4
104,4.593796,6.6275,0.148947,0.1269,0.001000,282.2
105,4.588932,6.6205,0.148679,0.1193,0.001000,285.0
106,4.593885,6.6276,0.151858,0.1277,0.001000,287.7
107,4.594976,6.6292,0.149100,0.1186,0.001000,290.6
108,4.575884,6.6016,0.149002,0.1241,0.001000,293.4
109,4.578530,6.6054,0.151050,0.1147,0.001000,296.1
110,4.578780,6.6058,0.156974,0.1222,0.001000,299.0
111,4.596742,6.6317,0.146783,0.1193,0.001000,301.8
112,4.584283,6.6137,0.150146,0.1175,0.001000,304.6
113,4.578780,6.6058,0.147768,0.1192,0.001000,307.3
114,4.572721,6.5971,0.150879,0.1157,0.001000,310.2
115,4.579346,6.6066,0.152742,0.1162,0.001000,313.1
116,4.591721,6.6245,0.149768,0.1239,0.001000,315.7
117,4.585363,6.6153,0.146250,0.1176,0.001000,318.5
118,4.566687,6.5884,0.152728,0.1188,0.001000,321.1
119,4.578245,6.6050,0.147044,0.1200,0.001000,324.0
120,4.560796,6.5799,0.149249,0.1188,0.001000,326.8
121,4.592146,6.6251,0.152278,0.1196,0.001000,329.7
122,4.555116,6.5717,0.154438,0.1201,0.001000,332.5
123,4.608133,6.6482,0.151888,0.1337,0.001000,335.3
124,4.571356,6.5951,0.150985,0.1265,0.001000,338.0
125,4.565462,6.5866,0.151189,0.1135,0.001000,340.7
126,4.572224,6.5963,0.152871,0.1160,0.001000,343.5
127,4.589078,6.6207,0.152014,0.1220,0.001000,346.2
128,4.558320,6.5763,0.151018,0.1119,0.001000,348.9
129,4.574286,6.5993,0.149838,0.1181,0.001000,351.7
130,4.565435,6.5866,0.155806,0.1142,0.001000,354.3
131,4.558161,6.5761,0.154216,0.1135,0.001000,357.1
132,4.575089,6.6005,0.150367,0.1094,0.001000,359.8
133,4.550290,6.5647,0.157859,0.1169,0.001000,362.7
134,4.564795,6.5856,0.152871,0.1086,0.001000,365.4
135,4.575487,6.6011,0.149855,0.1115,0.001000,368.0
136,4.557018,6.5744,0.154083,0.1128,0.001000,370.7
137,4.555444,6.5721,0.149803,0.1114,0.001000,373.3
138,4.549874,6.5641,0.156138,0.1105,0.001000,376.1
139,4.549916,6.5642,0.153098,0.0959,0.001000,378.7
140,4.524164,6.5270,0.156470,0.1106,0.001000,381.6
141,4.566683,6.5884,0.152044,0.1174,0.001000,384.3
142,4.535891,6.5439,0.155476,0.1085,0.001000,387.3
143,4.562784,6.5827,0.146208,0.1115,0.001000,390.3
144,4.553599,6.5695,0.152714,0.0999,0.001000,393.0
145,4.537058,6.5456,0.154805,0.1148,0.001000,395.8
146,4.546882,6.5598,0.153014,0.1076,0.001000,398.7
147,4.551092,6.5659,0.155977,0.1061,0.001000,401.3
148,4.543756,6.5553,0.155476,0.1109,0.001000,403.9
149,4.544499,6.5563,0.157678,0.1025,0.001000,406.6
150,4.549610,6.5637,0.154792,0.1085,0.001000,409.4
