step,loss,bpc,acc,gnorm,lr,elapsed_s
103,4.633596,6.6849,0.154963,0.1512,0.001000,343.1
104,4.617973,6.6623,0.147406,0.1381,0.001000,346.4
105,4.611389,6.6529,0.149872,0.1332,0.001000,349.8
106,4.613413,6.6558,0.152542,0.1317,0.001000,353.0
107,4.616926,6.6608,0.146872,0.1283,0.001000,356.3
108,4.596466,6.6313,0.150196,0.1288,0.001000,359.5
109,4.599417,6.6356,0.150026,0.1192,0.001000,362.7
110,4.596425,6.6313,0.155430,0.1173,0.001000,365.9
111,4.611015,6.6523,0.146271,0.1259,0.001000,369.4
112,4.601004,6.6379,0.149461,0.1228,0.001000,372.6
113,4.592483,6.6256,0.149478,0.1227,0.001000,376.0
114,4.590452,6.6226,0.150367,0.1231,0.001000,379.2
115,4.600011,6.6364,0.153767,0.1207,0.001000,382.6
116,4.605852,6.6449,0.152685,0.1258,0.001000,385.9
117,4.599126,6.6352,0.148129,0.1234,0.001000,389.4
118,4.585442,6.6154,0.152044,0.1240,0.001000,392.6
119,4.594967,6.6292,0.148929,0.1201,0.001000,395.8
120,4.575135,6.6005,0.151981,0.1228,0.001000,399.2
121,4.611181,6.6526,0.146968,0.1222,0.001000,402.4
122,4.565035,6.5860,0.152899,0.1204,0.001000,405.8
123,4.620572,6.6661,0.150350,0.1405,0.001000,409.1
124,4.587887,6.6189,0.152871,0.1249,0.001000,412.3
125,4.580791,6.6087,0.151189,0.1130,0.001000,415.6
126,4.590388,6.6226,0.153728,0.1121,0.001000,418.9
127,4.603999,6.6422,0.150129,0.1236,0.001000,422.1
128,4.567131,6.5890,0.151189,0.1119,0.001000,425.3
129,4.584413,6.6139,0.150863,0.1193,0.001000,428.8
130,4.576962,6.6032,0.156148,0.1133,0.001000,432.1
131,4.572987,6.5974,0.158853,0.1175,0.001000,435.3
132,4.586393,6.6168,0.150196,0.1080,0.001000,438.5
133,4.564558,6.5853,0.153241,0.1150,0.001000,441.8
134,4.577918,6.6046,0.152356,0.1187,0.001000,445.0
135,4.589278,6.6210,0.151391,0.1205,0.001000,448.6
136,4.571787,6.5957,0.151515,0.1192,0.001000,451.9
137,4.570605,6.5940,0.146721,0.1195,0.001000,455.2
138,4.560390,6.5793,0.153570,0.1088,0.001000,458.5
139,4.563390,6.5836,0.153951,0.1007,0.001000,461.8
140,4.538878,6.5482,0.155955,0.1094,0.001000,465.2
141,4.581415,6.6096,0.154609,0.1269,0.001000,468.6
142,4.550953,6.5657,0.152913,0.1150,0.001000,472.0
143,4.577508,6.6040,0.148091,0.1244,0.001000,475.3
144,4.565025,6.5860,0.158363,0.1068,0.001000,478.6
145,4.548554,6.5622,0.153610,0.1070,0.001000,481.9
146,4.559485,6.5780,0.152842,0.1029,0.001000,485.3
147,4.563700,6.5840,0.153241,0.1026,0.001000,488.7
148,4.550881,6.5656,0.153938,0.1105,0.001000,491.9
149,4.552045,6.5672,0.153912,0.1115,0.001000,495.1
150,4.557116,6.5746,0.151546,0.1085,0.001000,498.4
151,4.548230,6.5617,0.154280,0.1177,0.001000,501.6
152,4.531947,6.5382,0.153371,0.1080,0.001000,505.0
153,4.552762,6.5683,0.152400,0.1182,0.001000,508.2
154,4.555362,6.5720,0.152728,0.1042,0.001000,511.5
155,4.562769,6.5827,0.154768,0.1061,0.001000,514.8
156,4.559127,6.5775,0.153426,0.1249,0.001000,518.0
157,4.562026,6.5816,0.150146,0.1178,0.001000,521.2
158,4.548395,6.5620,0.148072,0.1188,0.001000,524.7
159,4.547610,6.5608,0.154805,0.1162,0.001000,528.1
160,4.554997,6.5715,0.153570,0.1136,0.001000,531.3
161,4.546875,6.5598,0.155601,0.1210,0.001000,534.6
162,4.553785,6.5697,0.151858,0.1195,0.001000,538.0
163,4.556248,6.5733,0.152230,0.1182,0.001000,541.4
164,4.561663,6.5811,0.153344,0.1132,0.001000,544.6
165,4.554683,6.5710,0.152059,0.1178,0.001000,547.8
166,4.579353,6.6066,0.150455,0.1190,0.001000,551.1
167,4.549570,6.5637,0.150676,0.1065,0.001000,554.4
168,4.550346,6.5648,0.153056,0.1119,0.001000,557.7
169,4.546451,6.5592,0.156853,0.1171,0.001000,560.9
170,4.552943,6.5685,0.152528,0.1275,0.001000,564.3
171,4.556172,6.5732,0.149514,0.1267,0.001000,567.7
