step,loss,bpc,acc,gnorm,lr,elapsed_s
90,4.676606,6.7469,0.146838,0.1681,0.001000,233.0
91,4.665698,6.7312,0.146441,0.1625,0.001000,235.8
92,4.665793,6.7313,0.143936,0.1609,0.001000,238.2
93,4.643040,6.6985,0.142174,0.1480,0.001000,240.8
94,4.648755,6.7068,0.145908,0.1329,0.001000,243.3
95,4.653186,6.7132,0.142149,0.1303,0.001000,245.9
96,4.644442,6.7005,0.146015,0.1269,0.001000,248.4
97,4.642460,6.6977,0.143321,0.1309,0.001000,251.1
98,4.651005,6.7100,0.145844,0.1368,0.001000,253.7
99,4.630747,6.6808,0.144416,0.1503,0.001000,256.2
100,4.633212,6.6843,0.143811,0.1638,0.001000,258.7
101,4.642480,6.6977,0.144348,0.1949,0.001000,261.3
102,4.663266,6.7277,0.142759,0.1894,0.001000,263.7
103,4.656705,6.7182,0.145566,0.1892,0.001000,266.1
104,4.634115,6.6856,0.142955,0.1525,0.001000,268.8
105,4.621900,6.6680,0.146462,0.1389,0.001000,271.4
106,4.619413,6.6644,0.147235,0.1317,0.001000,274.1
107,4.623871,6.6709,0.146358,0.1343,0.001000,276.6
108,4.607262,6.6469,0.149172,0.1408,0.001000,279.2
109,4.614260,6.6570,0.147977,0.1364,0.001000,281.8
110,4.616391,6.6601,0.154057,0.1412,0.001000,284.6
111,4.631579,6.6820,0.144052,0.1542,0.001000,287.2
112,4.625078,6.6726,0.148947,0.1564,0.001000,289.8
113,4.615222,6.6584,0.149136,0.1570,0.001000,292.3
114,4.611320,6.6528,0.149855,0.1533,0.001000,294.8
115,4.619554,6.6646,0.152400,0.1422,0.001000,297.3
116,4.623128,6.6698,0.149082,0.1393,0.001000,300.0
117,4.611875,6.6536,0.149154,0.1333,0.001000,302.4
118,4.595128,6.6294,0.151018,0.1310,0.001000,305.0
119,4.606381,6.6456,0.150129,0.1308,0.001000,307.5
120,4.583457,6.6126,0.149249,0.1335,0.001000,310.1
121,4.619074,6.6639,0.146283,0.1370,0.001000,312.6
122,4.576120,6.6020,0.153583,0.1417,0.001000,315.2
123,4.629593,6.6791,0.150350,0.1517,0.001000,317.7
124,4.600234,6.6368,0.151500,0.1434,0.001000,320.2
125,4.597316,6.6325,0.148281,0.1462,0.001000,322.8
126,4.604931,6.6435,0.149443,0.1505,0.001000,325.5
127,4.618333,6.6629,0.150129,0.1524,0.001000,328.1
128,4.580374,6.6081,0.152044,0.1323,0.001000,330.7
129,4.597448,6.6327,0.148983,0.1312,0.001000,333.3
130,4.586646,6.6172,0.155293,0.1250,0.001000,335.9
131,4.580921,6.6089,0.158681,0.1281,0.001000,338.4
132,4.594542,6.6285,0.153951,0.1129,0.001000,340.9
133,4.571395,6.5952,0.155122,0.1197,0.001000,343.4
134,4.583334,6.6124,0.151671,0.1129,0.001000,346.1
135,4.593719,6.6274,0.153098,0.1154,0.001000,348.7
136,4.574119,6.5991,0.152029,0.1083,0.001000,351.3
137,4.575136,6.6005,0.147406,0.1143,0.001000,354.0
138,4.565748,6.5870,0.156822,0.1085,0.001000,357.0
139,4.567702,6.5898,0.152927,0.1019,0.001000,359.7
140,4.545070,6.5572,0.157326,0.1181,0.001000,362.4
141,4.591610,6.6243,0.148965,0.1154,0.001000,364.9
142,4.558145,6.5760,0.157697,0.1101,0.001000,367.4
143,4.582946,6.6118,0.147064,0.1123,0.001000,370.0
144,4.570765,6.5942,0.150317,0.1011,0.001000,372.5
145,4.553385,6.5692,0.154634,0.1042,0.001000,375.0
146,4.565889,6.5872,0.153701,0.1004,0.001000,377.7
147,4.567459,6.5895,0.153583,0.1014,0.001000,380.3
148,4.554758,6.5711,0.153938,0.1028,0.001000,382.7
149,4.555696,6.5725,0.153570,0.1053,0.001000,385.3
150,4.564247,6.5848,0.149496,0.1101,0.001000,387.8
151,4.553223,6.5689,0.152913,0.1116,0.001000,390.4
152,4.537543,6.5463,0.152856,0.1039,0.001000,393.0
153,4.562515,6.5823,0.151205,0.1121,0.001000,395.5
154,4.562570,6.5824,0.155122,0.1031,0.001000,398.1
155,4.570710,6.5942,0.152371,0.1013,0.001000,400.6
156,4.563333,6.5835,0.155988,0.1204,0.001000,403.1
157,4.565154,6.5861,0.154597,0.1089,0.001000,405.7
158,4.549981,6.5643,0.149272,0.1057,0.001000,408.3
159,4.550488,6.5650,0.153610,0.1162,0.001000,410.9
160,4.560188,6.5790,0.155624,0.1123,0.001000,413.5
161,4.550320,6.5647,0.154572,0.1142,0.001000,416.1
162,4.556619,6.5738,0.151686,0.1094,0.001000,418.7
163,4.558135,6.5760,0.153255,0.1124,0.001000,421.2
164,4.565322,6.5864,0.153687,0.1138,0.001000,423.8
165,4.556543,6.5737,0.151205,0.1229,0.001000,426.3
166,4.580515,6.6083,0.149768,0.1235,0.001000,428.9
167,4.553213,6.5689,0.151531,0.1104,0.001000,431.5
168,4.552718,6.5682,0.153570,0.1166,0.001000,434.0
169,4.550313,6.5647,0.157023,0.1200,0.001000,436.6
170,4.552930,6.5685,0.150985,0.1243,0.001000,439.2
171,4.559720,6.5783,0.151050,0.1272,0.001000,441.8
172,4.559779,6.5784,0.157841,0.1359,0.001000,444.4
173,4.565307,6.5864,0.155270,0.1357,0.001000,447.0
174,4.539747,6.5495,0.154267,0.1118,0.001000,449.5
175,4.552262,6.5675,0.154744,0.1168,0.001000,452.0
176,4.546420,6.5591,0.154070,0.1059,0.001000,454.7
177,4.551805,6.5669,0.149394,0.1118,0.001000,457.3
178,4.556124,6.5731,0.154531,0.1037,0.001000,459.9
179,4.547891,6.5612,0.154426,0.1054,0.001000,462.5
180,4.543301,6.5546,0.156341,0.1189,0.001000,465.0
181,4.551334,6.5662,0.153610,0.1099,0.001000,467.5
182,4.547203,6.5602,0.151328,0.1109,0.001000,470.2
183,4.553986,6.5700,0.150863,0.1027,0.001000,472.7
184,4.531903,6.5382,0.154438,0.1067,0.001000,475.2
185,4.547872,6.5612,0.153741,0.1039,0.001000,477.8
186,4.548794,6.5625,0.153255,0.1007,0.001000,480.3
187,4.546161,6.5587,0.153070,0.0983,0.001000,482.7
188,4.549794,6.5640,0.151999,0.1061,0.001000,485.3
189,4.532804,6.5395,0.154305,0.1026,0.001000,487.8
190,4.537394,6.5461,0.154412,0.1073,0.001000,490.3
191,4.536646,6.5450,0.154294,0.1057,0.001000,492.8
192,4.528414,6.5331,0.157526,0.1074,0.001000,495.4
193,4.538122,6.5471,0.152913,0.1028,0.001000,498.0
194,4.538852,6.5482,0.154057,0.1067,0.001000,500.6
195,4.539851,6.5496,0.152756,0.1084,0.001000,503.1
196,4.530538,6.5362,0.152728,0.1004,0.001000,505.7
197,4.536201,6.5444,0.156138,0.1015,0.001000,508.3
198,4.540652,6.5508,0.156822,0.1035,0.001000,510.9
199,4.540375,6.5504,0.157535,0.1121,0.001000,513.5
200,4.527619,6.5320,0.156105,0.1282,0.001000,516.1
201,4.534144,6.5414,0.150879,0.1435,0.001000,518.7
202,4.527134,6.5313,0.153241,0.1144,0.001000,521.3
203,4.529856,6.5352,0.154792,0.1124,0.001000,523.8
204,4.532236,6.5387,0.154451,0.1074,0.001000,526.3
205,4.527614,6.5320,0.150488,0.1463,0.001000,528.9
206,4.530295,6.5359,0.150969,0.1730,0.001000,531.4
207,4.527077,6.5312,0.155328,0.1784,0.001000,534.0
208,4.526699,6.5307,0.155586,0.1220,0.001000,536.5
209,4.550107,6.5644,0.156325,0.1181,0.001000,539.1
210,4.531967,6.5383,0.148110,0.1136,0.001000,541.6
211,4.525722,6.5293,0.157346,0.1329,0.001000,544.1
212,4.539810,6.5496,0.147255,0.1346,0.001000,546.8
213,4.538726,6.5480,0.150692,0.1412,0.001000,549.2
214,4.538229,6.5473,0.154622,0.1308,0.001000,551.8
215,4.535380,6.5432,0.154963,0.1273,0.001000,554.3
216,4.537969,6.5469,0.155099,0.1039,0.001000,556.9
217,4.543905,6.5555,0.155146,0.1034,0.001000,559.4
218,4.527756,6.5322,0.154715,0.1305,0.001000,562.2
219,4.516482,6.5159,0.160669,0.1614,0.001000,564.7
220,4.520223,6.5213,0.157013,0.1421,0.001000,567.4
221,4.524772,6.5279,0.158380,0.1442,0.001000,570.0
222,4.524477,6.5275,0.152215,0.1084,0.001000,572.6
223,4.527617,6.5320,0.154754,0.1049,0.001000,575.1
224,4.508041,6.5038,0.154978,0.1296,0.001000,577.9
225,4.541592,6.5522,0.149614,0.1552,0.001000,580.4
226,4.527994,6.5325,0.155966,0.1645,0.001000,583.0
227,4.525530,6.5290,0.152400,0.1269,0.001000,585.7
228,4.532332,6.5388,0.154463,0.1173,0.001000,588.4
229,4.514073,6.5125,0.153098,0.1019,0.001000,591.0
230,4.518223,6.5184,0.154572,0.0950,0.001000,593.8
231,4.517891,6.5180,0.153439,0.1175,0.001000,596.4
232,4.513193,6.5112,0.155305,0.1486,0.001000,599.1
233,4.535055,6.5427,0.152899,0.1776,0.001000,601.6
234,4.524282,6.5272,0.155795,0.1109,0.001000,604.2
235,4.535293,6.5431,0.150538,0.1168,0.001000,606.6
236,4.519909,6.5209,0.155282,0.1002,0.001000,609.3
237,4.506670,6.5018,0.154122,0.1011,0.001000,612.1
238,4.513451,6.5116,0.158192,0.1085,0.001000,614.7
239,4.523284,6.5257,0.160253,0.1067,0.001000,617.3
240,4.514606,6.5132,0.157194,0.1413,0.001000,619.9
241,4.517153,6.5169,0.155293,0.1291,0.001000,622.4
242,4.524741,6.5278,0.152371,0.1181,0.001000,624.9
243,4.540466,6.5505,0.150538,0.1198,0.001000,627.6
244,4.533648,6.5407,0.150009,0.1137,0.001000,630.2
245,4.516144,6.5154,0.156298,0.1164,0.001000,632.7
246,4.524658,6.5277,0.152586,0.1299,0.001000,635.2
247,4.516768,6.5163,0.153426,0.1288,0.001000,637.8
248,4.533918,6.5411,0.153570,0.1186,0.001000,640.4
249,4.531888,6.5382,0.152586,0.1189,0.001000,643.1
250,4.502483,6.4957,0.154927,0.1100,0.001000,645.6
251,4.516011,6.5152,0.157165,0.0948,0.001000,648.2
252,4.510854,6.5078,0.151391,0.0994,0.001000,650.8
253,4.513876,6.5122,0.155346,0.1208,0.001000,653.4
