step 550 | loss 0.075169 | overall=0.0400 bit_acc=0.6488 byte_match=0.0400 hamming=2.8100 | add=0.0000 and=0.1304 or=0.0417 xor=0.0000 | being_0=0.0400 being_1=0.0200 being_2=0.0400 being_3=0.0900 being_4=0.0600 being_5=0.0500 being_6=0.0600 being_7=0.0500 being_8=0.0400 being_9=0.0600 oracle=0.1100 bit_oracle=0.9837 ensemble_benefit=-0.0500 | circular_spread=8.5111 coverage=0.5625 clustering=1.4000 | jump_0=0.9038 jump_1=0.8344 jump_2=0.9200 jump_3=0.8575 jump_4=0.8481 jump_5=0.0000 jump_6=0.9488 jump_7=0.8781 jump_8=1.0000 jump_9=0.7900 specialization=0.0423 | bit0=0.5500 bit1=0.4400 bit2=0.6800 bit3=0.6700 bit4=0.6600 bit5=0.6600 bit6=0.5800 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.199
step 600 | loss 0.076111 | overall=0.0600 bit_acc=0.6513 byte_match=0.0600 hamming=2.7900 | add=0.0000 and=0.1739 or=0.0417 xor=0.0400 | being_0=0.0400 being_1=0.0100 being_2=0.0400 being_3=0.0700 being_4=0.0500 being_5=0.0500 being_6=0.0700 being_7=0.0500 being_8=0.0400 being_9=0.0700 oracle=0.1200 bit_oracle=0.9837 ensemble_benefit=-0.0100 | circular_spread=8.3981 coverage=0.5781 clustering=1.2000 | jump_0=0.9006 jump_1=0.8400 jump_2=0.9244 jump_3=0.8537 jump_4=0.8506 jump_5=0.0000 jump_6=0.9475 jump_7=0.8812 jump_8=0.9994 jump_9=0.7988 specialization=0.0374 | bit0=0.5400 bit1=0.4600 bit2=0.6600 bit3=0.6300 bit4=0.6800 bit5=0.6900 bit6=0.6000 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.252
step 650 | loss 0.069829 | overall=0.0700 bit_acc=0.6662 byte_match=0.0700 hamming=2.6700 | add=0.0000 and=0.1739 or=0.0833 xor=0.0400 | being_0=0.0400 being_1=0.0400 being_2=0.0400 being_3=0.0500 being_4=0.0500 being_5=0.0600 being_6=0.0700 being_7=0.0700 being_8=0.0400 being_9=0.0500 oracle=0.1200 bit_oracle=0.9912 ensemble_benefit=+0.0000 | circular_spread=8.6798 coverage=0.5938 clustering=1.3000 | jump_0=0.9019 jump_1=0.8519 jump_2=0.9256 jump_3=0.8544 jump_4=0.8531 jump_5=0.0000 jump_6=0.9375 jump_7=0.8800 jump_8=1.0000 jump_9=0.8112 specialization=0.0292 | bit0=0.5400 bit1=0.4200 bit2=0.7100 bit3=0.7000 bit4=0.6600 bit5=0.6800 bit6=0.6700 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.241
step 700 | loss 0.071202 | overall=0.0500 bit_acc=0.6550 byte_match=0.0500 hamming=2.7600 | add=0.0000 and=0.1304 or=0.0417 xor=0.0400 | being_0=0.0400 being_1=0.0400 being_2=0.0400 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0800 being_7=0.0500 being_8=0.0500 being_9=0.0700 oracle=0.1200 bit_oracle=0.9900 ensemble_benefit=-0.0300 | circular_spread=8.5999 coverage=0.5625 clustering=1.2000 | jump_0=0.8981 jump_1=0.8544 jump_2=0.9281 jump_3=0.8537 jump_4=0.8481 jump_5=0.0000 jump_6=0.9375 jump_7=0.8781 jump_8=0.9994 jump_9=0.8275 specialization=0.0328 | bit0=0.5500 bit1=0.4500 bit2=0.6800 bit3=0.6700 bit4=0.6300 bit5=0.6800 bit6=0.6300 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.242
step 750 | loss 0.069850 | overall=0.0600 bit_acc=0.6587 byte_match=0.0600 hamming=2.7300 | add=0.0000 and=0.1304 or=0.0833 xor=0.0400 | being_0=0.0400 being_1=0.0100 being_2=0.0400 being_3=0.0600 being_4=0.0500 being_5=0.0400 being_6=0.0800 being_7=0.0600 being_8=0.0500 being_9=0.0600 oracle=0.1100 bit_oracle=0.9887 ensemble_benefit=-0.0200 | circular_spread=8.1690 coverage=0.5469 clustering=1.4000 | jump_0=0.8912 jump_1=0.8637 jump_2=0.9344 jump_3=0.8537 jump_4=0.8469 jump_5=0.0000 jump_6=0.9362 jump_7=0.8788 jump_8=0.9994 jump_9=0.8244 specialization=0.0315 | bit0=0.5300 bit1=0.4600 bit2=0.6700 bit3=0.6400 bit4=0.6600 bit5=0.6900 bit6=0.6700 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.249
step 800 | loss 0.067172 | overall=0.0300 bit_acc=0.6762 byte_match=0.0300 hamming=2.5900 | add=0.0000 and=0.0870 or=0.0417 xor=0.0000 | being_0=0.0400 being_1=0.0200 being_2=0.0400 being_3=0.0600 being_4=0.0500 being_5=0.0300 being_6=0.0700 being_7=0.0400 being_8=0.0300 being_9=0.0500 oracle=0.1100 bit_oracle=0.9862 ensemble_benefit=-0.0400 | circular_spread=8.7707 coverage=0.5781 clustering=1.3000 | jump_0=0.8906 jump_1=0.8688 jump_2=0.9394 jump_3=0.8550 jump_4=0.8494 jump_5=0.0000 jump_6=0.9350 jump_7=0.8881 jump_8=0.9994 jump_9=0.8275 specialization=0.0331 | bit0=0.5300 bit1=0.4400 bit2=0.7200 bit3=0.7000 bit4=0.6800 bit5=0.7100 bit6=0.6800 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.243
step 850 | loss 0.062875 | overall=0.0300 bit_acc=0.6737 byte_match=0.0300 hamming=2.6100 | add=0.0357 and=0.0435 or=0.0417 xor=0.0000 | being_0=0.0300 being_1=0.0300 being_2=0.0600 being_3=0.0600 being_4=0.0400 being_5=0.0600 being_6=0.0600 being_7=0.0400 being_8=0.0400 being_9=0.0500 oracle=0.1200 bit_oracle=0.9912 ensemble_benefit=-0.0300 | circular_spread=9.2860 coverage=0.6250 clustering=1.1000 | jump_0=0.8894 jump_1=0.8756 jump_2=0.9413 jump_3=0.8519 jump_4=0.8450 jump_5=0.0000 jump_6=0.9337 jump_7=0.8887 jump_8=0.9981 jump_9=0.8287 specialization=0.0324 | bit0=0.5500 bit1=0.4600 bit2=0.6900 bit3=0.7000 bit4=0.6600 bit5=0.6900 bit6=0.6900 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.247
step 900 | loss 0.060089 | overall=0.0200 bit_acc=0.6925 byte_match=0.0200 hamming=2.4600 | add=0.0000 and=0.0435 or=0.0417 xor=0.0000 | being_0=0.0200 being_1=0.0200 being_2=0.0600 being_3=0.0500 being_4=0.0300 being_5=0.0500 being_6=0.0500 being_7=0.0500 being_8=0.0400 being_9=0.0500 oracle=0.1000 bit_oracle=0.9862 ensemble_benefit=-0.0400 | circular_spread=9.5016 coverage=0.6406 clustering=1.2000 | jump_0=0.8894 jump_1=0.8819 jump_2=0.9519 jump_3=0.8537 jump_4=0.8494 jump_5=0.0000 jump_6=0.9325 jump_7=0.8887 jump_8=0.9969 jump_9=0.8300 specialization=0.0304 | bit0=0.5500 bit1=0.4700 bit2=0.7000 bit3=0.6800 bit4=0.6900 bit5=0.7300 bit6=0.7700 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.264
step 950 | loss 0.058524 | overall=0.0300 bit_acc=0.6938 byte_match=0.0300 hamming=2.4500 | add=0.0000 and=0.0870 or=0.0417 xor=0.0000 | being_0=0.0200 being_1=0.0200 being_2=0.0500 being_3=0.0700 being_4=0.0400 being_5=0.0600 being_6=0.0700 being_7=0.0600 being_8=0.0400 being_9=0.0500 oracle=0.1400 bit_oracle=0.9850 ensemble_benefit=-0.0400 | circular_spread=9.8919 coverage=0.6250 clustering=1.1000 | jump_0=0.8894 jump_1=0.8887 jump_2=0.9575 jump_3=0.8544 jump_4=0.8525 jump_5=0.0000 jump_6=0.9325 jump_7=0.8906 jump_8=0.9969 jump_9=0.8425 specialization=0.0349 | bit0=0.5800 bit1=0.4800 bit2=0.6400 bit3=0.6600 bit4=0.7000 bit5=0.7400 bit6=0.8000 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.273
step 1000 | loss 0.055179 | overall=0.0400 bit_acc=0.6938 byte_match=0.0400 hamming=2.4500 | add=0.0000 and=0.0435 or=0.0833 xor=0.0400 | being_0=0.0300 being_1=0.0300 being_2=0.0400 being_3=0.0600 being_4=0.0400 being_5=0.0500 being_6=0.0700 being_7=0.0500 being_8=0.0300 being_9=0.0500 oracle=0.1600 bit_oracle=0.9862 ensemble_benefit=-0.0300 | circular_spread=10.2881 coverage=0.6406 clustering=1.4000 | jump_0=0.8887 jump_1=0.8900 jump_2=0.9456 jump_3=0.8556 jump_4=0.8488 jump_5=0.0000 jump_6=0.9325 jump_7=0.8919 jump_8=0.9969 jump_9=0.8437 specialization=0.0342 | bit0=0.5900 bit1=0.4400 bit2=0.6400 bit3=0.6700 bit4=0.7200 bit5=0.7300 bit6=0.8100 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.258
