rank,seed,out_params,total_params,best_loss,final_loss,final_acc,elapsed,timestamp
64,42,147776,1204674,1.9511817693710327,1.9803591966629028,0.4349886178970337,400.2225152999745,2026-02-27T21:41:57.923223+00:00
64,137,147776,1204674,1.9559853076934814,2.002295732498169,0.4367567002773285,396.2339522999828,2026-02-27T21:41:57.923223+00:00
64,2024,147776,1204674,1.9512237310409546,1.9905202388763428,0.43378177285194397,342.67222750000656,2026-02-27T21:41:57.923223+00:00
128,42,295296,1352194,1.916063666343689,1.9419126510620117,0.4455110430717468,345.3070067000226,2026-02-27T21:41:57.923223+00:00
128,137,295296,1352194,1.91782546043396,1.9626200199127197,0.4458003044128418,344.80307760002324,2026-02-27T21:41:57.923223+00:00
128,2024,295296,1352194,1.9158047437667847,1.95365571975708,0.44174277782440186,339.14839420001954,2026-02-27T21:41:57.923223+00:00
