step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
210,2.854291,2.791407,0.267700,0.270474,0.000964,280.0,26880,0.9897,9644.6143,9.3578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.9425,47.8952,0.00,0.00
220,2.833276,2.763972,0.273193,0.276228,0.000957,293.4,28160,0.9890,9555.0352,9.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8418,48.0733,0.00,0.00
230,2.846715,2.758356,0.276611,0.280515,0.000950,306.0,29440,0.9861,9478.6611,9.2462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.6164,48.7159,0.00,0.00
240,2.776093,2.726317,0.281006,0.283184,0.000942,318.8,30720,0.9923,9673.6553,9.4262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5659,48.7219,0.00,0.00
250,2.801273,2.693354,0.281738,0.286601,0.000934,332.5,32000,0.9830,9826.8408,9.5305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8520,48.2060,0.00,0.00
260,2.811898,2.692699,0.276855,0.282125,0.000925,345.4,33280,0.9813,9887.2744,9.5429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0880,47.6883,0.00,0.00
270,2.701108,2.612366,0.290283,0.294198,0.000915,360.3,34560,0.9867,9891.7021,9.5103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.5438,47.4682,0.00,0.00
280,2.759840,2.629603,0.297485,0.303525,0.000906,374.8,35840,0.9801,10303.2988,9.7957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.5313,47.3798,0.00,0.00
290,2.724924,2.643973,0.297852,0.301532,0.000895,388.4,37120,0.9878,10558.4189,10.0940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.1437,47.3091,0.00,0.00
300,2.712864,2.644772,0.281860,0.284745,0.000884,403.7,38400,0.9899,10573.2773,10.3009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9167,47.6071,0.00,0.00
310,2.698041,2.587536,0.299438,0.304456,0.000873,421.0,39680,0.9835,10835.8799,10.4860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.4054,47.0886,0.00,0.00
320,2.669639,2.557652,0.301514,0.306642,0.000861,435.2,40960,0.9833,10764.1729,10.4779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.6935,46.7335,0.00,0.00
330,2.657593,2.550039,0.308594,0.313531,0.000849,448.8,42240,0.9843,11144.4941,10.8147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1297,46.8202,0.00,0.00
340,2.662420,2.573958,0.309570,0.313667,0.000836,461.3,43520,0.9869,11126.6914,10.8214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0478,46.9099,0.00,0.00
350,2.590254,2.507224,0.318115,0.322046,0.000823,473.5,44800,0.9878,11268.4473,10.8984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7776,46.4925,0.00,0.00
360,2.615765,2.508633,0.312988,0.317996,0.000809,486.7,46080,0.9843,11274.4092,10.8783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.3291,46.7845,0.00,0.00
