step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.628551,5.628715,0.006182,0.006186,0.000000,12.7,124,0.9994
10,5.529039,5.529121,0.010577,0.010581,0.000005,115.8,1240,0.9996
20,5.200596,5.200567,0.027934,0.027940,0.000010,228.3,2480,0.9998
30,4.698838,4.698324,0.181184,0.181321,0.000015,343.3,3720,0.9992
40,3.992839,3.991947,0.263483,0.263643,0.000020,457.5,4960,0.9994
50,3.429440,3.428698,0.272705,0.272800,0.000025,572.8,6200,0.9997
55,3.303771,3.303165,0.274123,0.274187,0.000028,639.2,6820,0.9998
60,3.085114,3.084460,0.297434,0.297490,0.000030,696.3,7440,0.9998
65,2.945215,2.944416,0.317454,0.317529,0.000033,752.7,8060,0.9998
