stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
1	XOR	tanh	0	20	0.50	100	0.10	1.0	123	1.0000	1.0000	0.5000	2.499527	77.0	0.0000	2.4195	1.7735	0.9998	0.0
1	XOR	tanh	0	20	0.50	100	0.10	1.0	7	1.0000	1.0000	0.5000	2.499502	76.8	0.0000	2.9113	1.7991	0.9998	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.720727	9.0	0.0000	0.2119	0.1313	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.720728	9.0	0.0000	0.2028	0.0771	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.720738	9.0	0.0000	0.1874	0.1217	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.720726	9.0	0.0000	0.2120	0.1314	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.720728	9.0	0.0000	0.2029	0.0771	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.720738	9.0	0.0000	0.1874	0.1217	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.720726	9.0	0.0000	0.2120	0.1314	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.720728	9.0	0.0000	0.2029	0.0771	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.720738	9.0	0.0000	0.1874	0.1217	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.720726	9.0	0.0000	0.2120	0.1314	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.720728	9.0	0.0000	0.2029	0.0771	0.1861	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.720738	9.0	0.0000	0.1874	0.1217	0.1861	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.673596	9.0	0.0000	0.2270	0.1529	0.1508	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.673433	9.0	0.0000	0.2142	0.0993	0.1507	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.673749	9.0	0.0000	0.1873	0.1349	0.1509	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.673596	9.0	0.0000	0.2270	0.1529	0.1508	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.673433	9.0	0.0000	0.2142	0.0993	0.1507	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.673749	9.0	0.0000	0.1873	0.1349	0.1509	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.673596	9.0	0.0000	0.2270	0.1529	0.1508	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.673433	9.0	0.0000	0.2142	0.0993	0.1507	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.673749	9.0	0.0000	0.1873	0.1349	0.1509	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.673596	9.0	0.0000	0.2270	0.1529	0.1508	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.673433	9.0	0.0000	0.2142	0.0993	0.1507	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.673749	9.0	0.0000	0.1873	0.1349	0.1509	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.544302	9.0	0.0000	0.2639	0.1786	0.0426	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.547372	9.0	0.0000	0.2371	0.1187	0.0454	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.548364	9.0	0.0000	0.1968	0.1402	0.0461	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.545169	9.0	0.0000	0.2620	0.1763	0.0434	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.547619	9.0	0.0000	0.2363	0.1180	0.0456	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.548605	9.0	0.0000	0.1963	0.1396	0.0464	0.0
2	XOR	c19_r1	1	10	1.00	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.545172	9.0	0.0000	0.2618	0.1763	0.0434	0.0
2	XOR	c19_r1	1	10	1.00	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.547612	9.0	0.0000	0.2362	0.1182	0.0456	0.0
2	XOR	c19_r1	1	10	1.00	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.548604	9.0	0.0000	0.1964	0.1396	0.0464	0.0
2	XOR	c19_r1	1	10	1.00	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.545174	9.0	0.0000	0.2618	0.1763	0.0434	0.0
2	XOR	c19_r1	1	10	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.395778	9.0	0.0000	0.2698	0.0916	0.1191	0.0
2	XOR	c19_r1	1	10	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.548604	9.0	0.0000	0.1964	0.1397	0.0464	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.720706	9.0	0.0000	0.2783	0.1629	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.720712	9.0	0.0000	0.2422	0.1073	0.1861	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.720711	9.0	0.0000	0.2970	0.1314	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.720706	9.0	0.0000	0.2783	0.1629	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.720712	9.0	0.0000	0.2422	0.1073	0.1861	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.720711	9.0	0.0000	0.2971	0.1314	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.720706	9.0	0.0000	0.2783	0.1629	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.720712	9.0	0.0000	0.2422	0.1073	0.1861	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.720711	9.0	0.0000	0.2971	0.1314	0.1860	0.0
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.720706	9.0	0.0000	0.2783	0.1629	0.1860	0.0
