step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
800,4.789200,4.657191,0.032501,0.036432,0.000988,308.9,409600,0.8787
810,4.814759,4.685658,0.028992,0.032507,0.000987,312.1,414720,0.8797
820,4.815323,4.682294,0.032562,0.036632,0.000987,317.7,419840,0.8764
830,4.798562,4.665126,0.034668,0.038744,0.000987,322.0,424960,0.8806
840,4.799352,4.664812,0.032593,0.036583,0.000986,326.2,430080,0.8759
850,4.836269,4.692160,0.032410,0.036622,0.000986,329.4,435200,0.8666
860,4.827042,4.676375,0.032593,0.036945,0.000986,332.4,440320,0.8632
870,4.806499,4.671257,0.031158,0.034729,0.000985,336.0,445440,0.8761
880,4.801032,4.665081,0.033630,0.037546,0.000985,340.6,450560,0.8770
890,4.775977,4.654570,0.032745,0.036252,0.000984,345.2,455680,0.8907
900,4.813209,4.679485,0.032410,0.036534,0.000984,349.1,460800,0.8754
910,4.831633,4.690071,0.030731,0.034679,0.000984,353.1,465920,0.8686
920,4.784687,4.658875,0.031006,0.034815,0.000983,358.7,471040,0.8845
930,4.812626,4.672586,0.032043,0.036228,0.000983,362.6,476160,0.8727
940,4.801417,4.661609,0.031219,0.035283,0.000982,367.2,481280,0.8736
950,4.804198,4.664768,0.034302,0.038776,0.000982,370.9,486400,0.8744
960,4.818792,4.671075,0.031799,0.036313,0.000982,375.3,491520,0.8631
970,4.808677,4.668539,0.034027,0.038447,0.000981,380.2,496640,0.8716
980,4.806725,4.661848,0.032410,0.036861,0.000981,384.6,501760,0.8676
990,4.796218,4.661411,0.035645,0.039809,0.000980,389.1,506880,0.8808
1000,4.789312,4.657055,0.037170,0.041853,0.000980,392.5,512000,0.8786
1010,4.778279,4.642926,0.034393,0.038567,0.000979,395.9,517120,0.8783
1020,4.801474,4.661499,0.035675,0.040434,0.000979,402.7,522240,0.8725
1030,4.785595,4.651678,0.034332,0.038499,0.000978,406.7,527360,0.8815
1040,4.805171,4.660636,0.031372,0.035588,0.000978,410.2,532480,0.8704
1050,4.802995,4.661595,0.034912,0.039286,0.000977,413.6,537600,0.8731
1060,4.805964,4.664810,0.033997,0.038408,0.000977,417.2,542720,0.8724
1070,4.771473,4.642654,0.031342,0.035064,0.000977,420.8,547840,0.8834
1080,4.788804,4.654583,0.033691,0.037922,0.000976,424.1,552960,0.8804
1090,4.807074,4.659249,0.032166,0.036380,0.000976,427.4,558080,0.8690
1100,4.806008,4.662869,0.032013,0.036012,0.000975,431.2,563200,0.8720
1110,4.793296,4.654610,0.033142,0.037412,0.000975,435.5,568320,0.8753
1120,4.786748,4.654925,0.030914,0.034445,0.000974,442.2,573440,0.8816
1130,4.784595,4.644436,0.032990,0.037174,0.000974,446.0,578560,0.8751
1140,4.772587,4.641427,0.034210,0.038246,0.000973,449.6,583680,0.8817
1150,4.790439,4.649364,0.033600,0.037960,0.000973,453.0,588800,0.8755
1160,4.778954,4.642622,0.033386,0.037364,0.000972,456.1,593920,0.8788
1170,4.808213,4.658980,0.032227,0.036687,0.000972,459.4,599040,0.8651
1180,4.789133,4.645568,0.035492,0.039902,0.000971,462.6,604160,0.8742
1190,4.784033,4.645268,0.033752,0.038048,0.000970,465.7,609280,0.8743
1200,4.789824,4.646419,0.032715,0.036806,0.000970,468.8,614400,0.8739
1210,4.782531,4.643145,0.033234,0.037229,0.000969,472.1,619520,0.8779
1220,4.776377,4.631034,0.032562,0.036912,0.000969,479.0,624640,0.8689
1230,4.793099,4.642794,0.031250,0.035673,0.000968,482.4,629760,0.8675
1240,4.786956,4.643215,0.035309,0.039573,0.000968,485.4,634880,0.8745
1250,4.768920,4.632644,0.033569,0.037539,0.000967,488.5,640000,0.8804
1260,4.780458,4.633009,0.030396,0.034523,0.000967,491.7,645120,0.8707
1270,4.793648,4.653156,0.031555,0.035331,0.000966,494.9,650240,0.8741
1280,4.797841,4.644674,0.036163,0.041247,0.000965,498.1,655360,0.8664
1290,4.798768,4.658743,0.032562,0.036634,0.000965,501.2,660480,0.8780
1300,4.767816,4.631115,0.034027,0.038131,0.000964,504.6,665600,0.8804
1310,4.799300,4.652468,0.037933,0.042907,0.000964,508.4,670720,0.8713
1320,4.771683,4.635873,0.035492,0.039716,0.000963,514.7,675840,0.8806
1330,4.800624,4.651317,0.033051,0.037527,0.000962,517.9,680960,0.8701
1340,4.780674,4.639164,0.034912,0.039203,0.000962,521.1,686080,0.8765
1350,4.800716,4.654421,0.035004,0.039226,0.000961,524.2,691200,0.8690
1360,4.770574,4.633598,0.033661,0.037657,0.000961,527.4,696320,0.8817
1370,4.779955,4.638096,0.035858,0.040205,0.000960,530.5,701440,0.8767
1380,4.767598,4.631502,0.033691,0.037921,0.000959,533.7,706560,0.8796
1390,4.772280,4.632813,0.034210,0.038084,0.000959,536.9,711680,0.8791
1400,4.799780,4.646456,0.033813,0.038433,0.000958,540.0,716800,0.8663
1410,4.781436,4.638514,0.031433,0.035325,0.000957,543.5,721920,0.8769
1420,4.796796,4.645529,0.032379,0.036501,0.000957,550.2,727040,0.8704
1430,4.774308,4.630107,0.032745,0.036985,0.000956,553.4,732160,0.8746
1440,4.762517,4.622808,0.035278,0.039607,0.000956,556.7,737280,0.8792
1450,4.784816,4.634641,0.031921,0.036364,0.000955,560.0,742400,0.8686
1460,4.780634,4.631916,0.034424,0.039032,0.000954,563.3,747520,0.8718
1470,4.782166,4.632274,0.034393,0.039229,0.000954,566.7,752640,0.8697
1480,4.754727,4.616135,0.034271,0.038628,0.000953,570.0,757760,0.8817
1490,4.767223,4.624824,0.031921,0.035912,0.000952,573.2,762880,0.8787
1500,4.769825,4.624271,0.033813,0.038072,0.000952,576.4,768000,0.8737
1510,4.759682,4.610366,0.032898,0.037230,0.000951,580.2,773120,0.8722
1520,4.783622,4.635451,0.032379,0.036707,0.000950,586.8,778240,0.8696
1530,4.786325,4.638741,0.034210,0.038655,0.000949,590.2,783360,0.8740
1540,4.791462,4.637907,0.032837,0.037541,0.000949,593.4,788480,0.8658
1550,4.767785,4.621354,0.034149,0.038062,0.000948,596.8,793600,0.8780
1560,4.759986,4.616625,0.036407,0.041115,0.000947,600.1,798720,0.8766
1570,4.760535,4.613151,0.034668,0.039070,0.000947,603.5,803840,0.8733
1580,4.773705,4.621690,0.034851,0.039528,0.000946,606.8,808960,0.8716
1590,4.763049,4.617137,0.034943,0.039229,0.000945,610.1,814080,0.8744
1600,4.760050,4.617039,0.035217,0.039494,0.000944,613.4,819200,0.8778
1610,4.748807,4.603671,0.033569,0.037666,0.000944,616.8,824320,0.8775
1620,4.744223,4.606877,0.036194,0.040495,0.000943,623.9,829440,0.8855
1630,4.761289,4.610991,0.031921,0.036140,0.000942,627.4,834560,0.8740
1640,4.760486,4.611330,0.032043,0.036261,0.000942,630.8,839680,0.8727
1650,4.743416,4.601766,0.034790,0.038911,0.000941,634.2,844800,0.8792
1660,4.766705,4.621396,0.033905,0.038019,0.000940,637.8,849920,0.8781
1670,4.753764,4.612027,0.035736,0.040199,0.000939,641.3,855040,0.8791
1680,4.776824,4.622616,0.034149,0.038664,0.000939,644.7,860160,0.8706
1690,4.745377,4.601491,0.035370,0.039804,0.000938,648.1,865280,0.8794
1700,4.770350,4.619864,0.033630,0.037995,0.000937,651.5,870400,0.8731
