step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
800,0.210559,0.182723,0.672108,0.698919,0.000988,297.2,409600,0.8714
810,0.211790,0.184217,0.670818,0.696040,0.000987,300.2,414720,0.8777
820,0.210793,0.183309,0.670677,0.696803,0.000987,303.9,419840,0.8736
830,0.210012,0.182528,0.671940,0.698201,0.000987,307.4,424960,0.8727
840,0.210215,0.182437,0.673023,0.698382,0.000986,311.1,430080,0.8780
850,0.214033,0.183606,0.668804,0.695697,0.000986,315.5,435200,0.8700
860,0.211080,0.183710,0.671333,0.696566,0.000986,319.9,440320,0.8786
870,0.212154,0.182940,0.670990,0.697587,0.000985,323.3,445440,0.8719
880,0.213777,0.183359,0.671570,0.698580,0.000985,326.7,450560,0.8714
890,0.204714,0.179244,0.678154,0.702733,0.000984,330.3,455680,0.8849
900,0.210957,0.180313,0.673775,0.701573,0.000984,333.6,460800,0.8689
910,0.209175,0.179625,0.674976,0.701543,0.000984,337.2,465920,0.8719
920,0.209033,0.180294,0.674709,0.700006,0.000983,342.2,471040,0.8802
930,0.208013,0.179275,0.675411,0.701870,0.000983,346.1,476160,0.8770
940,0.207125,0.178599,0.676735,0.702375,0.000982,349.8,481280,0.8800
950,0.207228,0.178584,0.677505,0.704126,0.000982,354.0,486400,0.8750
960,0.207665,0.178910,0.676636,0.702093,0.000982,358.3,491520,0.8772
970,0.207068,0.178059,0.677425,0.703553,0.000981,361.5,496640,0.8778
980,0.205836,0.177497,0.679474,0.706686,0.000981,364.7,501760,0.8769
990,0.208590,0.178045,0.679092,0.706546,0.000980,368.0,506880,0.8717
1000,0.207039,0.177473,0.676376,0.703463,0.000980,371.7,512000,0.8727
1010,0.213053,0.181594,0.673603,0.701791,0.000979,375.6,517120,0.8672
1020,0.206481,0.175902,0.679436,0.707058,0.000979,380.2,522240,0.8754
1030,0.204725,0.175603,0.680439,0.706575,0.000978,384.3,527360,0.8792
1040,0.208669,0.176177,0.678516,0.705802,0.000978,387.6,532480,0.8751
1050,0.205996,0.175510,0.678478,0.705804,0.000977,390.9,537600,0.8744
1060,0.208079,0.174921,0.678986,0.708054,0.000977,394.5,542720,0.8694
1070,0.213397,0.181352,0.674969,0.702445,0.000977,398.0,547840,0.8742
1080,0.208229,0.176235,0.679455,0.707796,0.000976,401.4,552960,0.8731
1090,0.207050,0.174145,0.681095,0.710405,0.000976,404.7,558080,0.8667
1100,0.201356,0.172251,0.684231,0.712171,0.000975,408.1,563200,0.8761
1110,0.203131,0.172782,0.684902,0.712174,0.000975,412.5,568320,0.8777
1120,0.206224,0.174242,0.683300,0.712570,0.000974,417.1,573440,0.8726
1130,0.205278,0.172373,0.683266,0.712499,0.000974,420.8,578560,0.8703
1140,0.205500,0.172573,0.683315,0.711657,0.000973,424.0,583680,0.8750
1150,0.201223,0.171266,0.687119,0.714166,0.000973,427.6,588800,0.8805
1160,0.203481,0.172191,0.685654,0.713644,0.000972,431.8,593920,0.8759
1170,0.204956,0.171525,0.683937,0.713004,0.000972,435.1,599040,0.8727
1180,0.205013,0.172243,0.685253,0.713511,0.000971,438.8,604160,0.8752
1190,0.199403,0.170354,0.689350,0.715442,0.000970,442.4,609280,0.8841
1200,0.202103,0.170206,0.688244,0.717276,0.000970,445.8,614400,0.8730
1210,0.206026,0.171346,0.685875,0.715164,0.000969,449.1,619520,0.8733
1220,0.203429,0.170579,0.687775,0.716933,0.000969,453.3,624640,0.8720
1230,0.200210,0.169380,0.691135,0.719131,0.000968,456.6,629760,0.8833
1240,0.202756,0.169923,0.689747,0.717764,0.000968,460.2,634880,0.8791
1250,0.204422,0.169865,0.686974,0.717833,0.000967,463.8,640000,0.8683
1260,0.201699,0.168382,0.690109,0.720669,0.000967,467.2,645120,0.8684
1270,0.208278,0.171981,0.685375,0.716811,0.000966,470.6,650240,0.8627
1280,0.199909,0.168008,0.691551,0.720955,0.000965,473.7,655360,0.8737
1290,0.201229,0.167702,0.690929,0.721397,0.000965,476.7,660480,0.8727
1300,0.204041,0.169686,0.689800,0.720330,0.000964,479.8,665600,0.8700
1310,0.200223,0.166930,0.692059,0.721448,0.000964,484.4,670720,0.8775
1320,0.202858,0.167824,0.690815,0.721376,0.000963,488.3,675840,0.8737
1330,0.202446,0.167756,0.691898,0.723414,0.000962,491.8,680960,0.8685
1340,0.199831,0.166299,0.695621,0.726159,0.000962,495.5,686080,0.8740
1350,0.200075,0.167153,0.695877,0.724933,0.000961,498.9,691200,0.8782
1360,0.199497,0.165424,0.695400,0.724141,0.000961,502.3,696320,0.8822
1370,0.200177,0.167353,0.695694,0.725691,0.000960,505.5,701440,0.8772
1380,0.198567,0.166659,0.696167,0.723933,0.000959,508.8,706560,0.8835
1390,0.196260,0.164114,0.699467,0.728362,0.000959,512.1,711680,0.8846
1400,0.201295,0.165939,0.694363,0.724416,0.000958,515.6,716800,0.8770
1410,0.196855,0.163587,0.698814,0.730027,0.000957,518.9,721920,0.8707
1420,0.196242,0.164178,0.700741,0.730237,0.000957,523.5,727040,0.8815
1430,0.200161,0.166412,0.696999,0.726959,0.000956,526.9,732160,0.8784
1440,0.195220,0.162990,0.701378,0.731259,0.000956,530.1,737280,0.8753
1450,0.198236,0.163738,0.700405,0.730722,0.000955,533.1,742400,0.8758
1460,0.200383,0.165014,0.697376,0.728444,0.000954,536.2,747520,0.8716
1470,0.201143,0.166358,0.698883,0.729167,0.000954,539.4,752640,0.8751
1480,0.198539,0.164182,0.699867,0.729784,0.000953,542.8,757760,0.8774
1490,0.194564,0.161582,0.704491,0.733811,0.000952,545.8,762880,0.8825
1500,0.192748,0.160475,0.707233,0.737626,0.000952,548.8,768000,0.8798
1510,0.196327,0.162826,0.704735,0.735936,0.000951,552.2,773120,0.8766
1520,0.195692,0.162119,0.704021,0.734422,0.000950,556.5,778240,0.8791
1530,0.195690,0.161286,0.705433,0.736533,0.000949,560.2,783360,0.8781
1540,0.199209,0.163065,0.701992,0.734372,0.000949,563.5,788480,0.8712
1550,0.202337,0.164850,0.699196,0.732115,0.000948,566.8,793600,0.8698
1560,0.197126,0.161553,0.705742,0.738126,0.000947,571.0,798720,0.8738
1570,0.201953,0.164887,0.699486,0.731744,0.000947,574.6,803840,0.8701
1580,0.195827,0.160350,0.707008,0.738795,0.000946,578.3,808960,0.8756
1590,0.193660,0.160937,0.708641,0.738788,0.000945,582.1,814080,0.8816
1600,0.195449,0.160464,0.706955,0.738493,0.000944,585.1,819200,0.8775
1610,0.196195,0.160683,0.706833,0.738548,0.000944,589.3,824320,0.8737
1620,0.196337,0.160126,0.707211,0.739130,0.000943,593.3,829440,0.8742
1630,0.191875,0.159901,0.711338,0.740928,0.000942,596.9,834560,0.8856
1640,0.196576,0.163237,0.705219,0.735931,0.000942,600.4,839680,0.8766
1650,0.191274,0.159421,0.712368,0.741997,0.000941,604.5,844800,0.8852
1660,0.194630,0.161174,0.708351,0.739079,0.000940,608.9,849920,0.8806
1670,0.195507,0.159175,0.708977,0.743210,0.000939,612.8,855040,0.8675
1680,0.195809,0.159816,0.709286,0.741862,0.000939,616.4,860160,0.8770
1690,0.196150,0.159828,0.709484,0.742879,0.000938,619.8,865280,0.8726
1700,0.194905,0.159001,0.711296,0.744503,0.000937,623.0,870400,0.8743
1710,0.190535,0.157071,0.715721,0.747674,0.000936,626.4,875520,0.8790
1720,0.191169,0.157246,0.714111,0.745389,0.000935,631.6,880640,0.8794
1730,0.192336,0.158155,0.713753,0.746543,0.000935,635.5,885760,0.8728
1740,0.195670,0.159729,0.710354,0.743326,0.000934,639.1,890880,0.8751
1750,0.192537,0.158290,0.715870,0.747782,0.000933,642.4,896000,0.8788
1760,0.193709,0.159048,0.714058,0.745234,0.000932,646.1,901120,0.8812
1770,0.192407,0.157340,0.716125,0.748296,0.000931,650.1,906240,0.8774
1780,0.193407,0.157043,0.714256,0.748336,0.000931,653.3,911360,0.8713
1790,0.190869,0.156457,0.718563,0.751342,0.000930,656.5,916480,0.8758
1800,0.195361,0.157952,0.713726,0.748593,0.000929,659.9,921600,0.8678
1810,0.197278,0.159285,0.710449,0.745673,0.000928,663.6,926720,0.8657
1820,0.192493,0.156430,0.716976,0.752142,0.000927,669.0,931840,0.8690
1830,0.193241,0.156781,0.716980,0.751968,0.000927,673.4,936960,0.8702
1840,0.189702,0.156614,0.718994,0.750303,0.000926,676.8,942080,0.8827
1850,0.191709,0.157147,0.718433,0.751228,0.000925,680.2,947200,0.8789
1860,0.193312,0.157103,0.716572,0.750441,0.000924,683.6,952320,0.8738
1870,0.193056,0.155789,0.719276,0.753398,0.000923,687.6,957440,0.8744
1880,0.192811,0.156566,0.717415,0.751297,0.000922,690.9,962560,0.8735
1890,0.189523,0.154068,0.724010,0.758112,0.000922,694.4,967680,0.8761
1900,0.190090,0.155852,0.719975,0.752541,0.000921,698.2,972800,0.8782
1910,0.193683,0.157924,0.715794,0.750856,0.000920,701.4,977920,0.8691
1920,0.192367,0.155517,0.720142,0.756197,0.000919,707.0,983040,0.8692
1930,0.190768,0.155420,0.721043,0.754675,0.000918,710.4,988160,0.8772
1940,0.185979,0.152799,0.727516,0.761546,0.000917,713.4,993280,0.8781
1950,0.192367,0.155259,0.718155,0.752993,0.000916,717.1,998400,0.8717
1960,0.193062,0.156460,0.718143,0.752940,0.000915,720.6,1003520,0.8732
1970,0.190788,0.155903,0.721539,0.754256,0.000915,723.9,1008640,0.8802
1980,0.193170,0.155764,0.718876,0.752910,0.000914,727.5,1013760,0.8757
1990,0.193784,0.155870,0.721252,0.757123,0.000913,730.8,1018880,0.8692
2000,0.187870,0.152440,0.728077,0.762435,0.000912,734.4,1024000,0.8780
2010,0.190929,0.154349,0.721687,0.758026,0.000911,738.7,1029120,0.8684
2020,0.193077,0.153392,0.724712,0.762080,0.000910,743.2,1034240,0.8650
