step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
210,2.945811,2.891811,0.243164,0.245774,0.000964,286.6,26880,0.9894,5780.4800,5.5322,0.5150,0.4839,0.5661,0.4702,0.4228,0.5559,18.3203,18.3203,56.7785,36.4262,23.3954,21.3513,50.9521,52.4315,50.8870,52.3519,63.00,575.00
220,2.918129,2.852602,0.238159,0.241192,0.000957,300.8,28160,0.9874,6256.3228,5.8841,0.5237,0.4861,0.5841,0.4707,0.4276,0.5587,18.2257,18.2257,65.0628,34.9700,23.8027,21.3738,50.6783,52.3911,50.7115,52.4029,63.00,575.00
230,2.907357,2.854616,0.249146,0.251758,0.000950,313.6,29440,0.9896,6799.7539,6.3014,0.5370,0.4879,0.6083,0.3802,0.3384,0.4714,18.2091,18.2091,73.1110,35.3160,24.4162,17.2565,50.4136,54.1912,50.3120,54.1387,63.00,575.00
240,2.896590,2.817770,0.251831,0.255797,0.000942,327.5,30720,0.9845,6954.1318,6.5502,0.5468,0.4907,0.6222,0.3819,0.3414,0.4695,18.1287,18.1287,73.1630,40.8662,24.8739,17.3491,50.1740,54.1939,50.3150,54.2903,63.00,575.00
250,2.822891,2.743721,0.274536,0.278790,0.000934,340.1,32000,0.9847,7038.4653,6.6568,0.5497,0.4986,0.6261,0.3841,0.3402,0.4889,18.3436,18.3436,73.8755,43.4750,25.0174,17.4635,50.1197,54.2574,50.1095,54.1787,63.00,575.00
260,2.815745,2.727782,0.266602,0.271170,0.000925,352.2,33280,0.9832,7051.7773,6.7229,0.5417,0.4999,0.6179,0.3888,0.3440,0.4850,18.1014,18.1014,72.7077,46.8308,24.6600,17.6882,50.2304,54.1153,50.3461,54.1429,63.00,575.00
270,2.802001,2.716470,0.270386,0.274950,0.000915,365.0,34560,0.9834,7042.7041,6.7646,0.5229,0.4832,0.6064,0.3978,0.3515,0.5142,18.4073,18.4073,70.8341,49.6522,23.8103,18.1076,50.3009,53.8210,50.5308,53.9342,63.00,575.00
280,2.763700,2.691727,0.283813,0.287712,0.000906,377.7,35840,0.9865,7013.2852,6.8273,0.5255,0.4747,0.6003,0.4155,0.3559,0.5247,17.8961,17.8961,66.4530,57.2331,23.9344,18.9228,50.6694,53.8548,50.4194,53.6366,63.00,575.00
290,2.689543,2.648443,0.289917,0.292092,0.000895,391.0,37120,0.9926,7038.3208,6.8181,0.5127,0.4651,0.6009,0.4175,0.3790,0.5387,18.7817,18.7817,69.6189,54.0635,23.3606,19.0240,50.5828,53.4960,50.6348,53.5100,63.00,575.00
300,2.733523,2.670966,0.295044,0.298579,0.000884,403.1,38400,0.9882,7039.3237,6.8612,0.5148,0.4565,0.6040,0.4356,0.3773,0.5445,19.0092,19.0092,66.1921,58.0109,23.4642,19.8525,50.4087,53.0719,50.3159,53.0238,63.00,575.00
