step,model,loss,acc,avg_loss_20,avg_acc_20
232,B_scale0.01,0.693485,0.5000,0.689276,0.5219
233,A_scale1.0,0.698900,0.6250,0.676232,0.5469
233,B_scale0.01,0.690514,0.5625,0.688188,0.5281
234,A_scale1.0,0.683213,0.4375,0.676150,0.5375
234,B_scale0.01,0.695233,0.4375,0.689069,0.5219
235,A_scale1.0,0.657062,0.6875,0.675102,0.5500
235,B_scale0.01,0.682477,0.5625,0.688848,0.5250
236,A_scale1.0,0.627146,0.6875,0.674509,0.5531
236,B_scale0.01,0.683559,0.5625,0.686837,0.5375
237,A_scale1.0,0.598132,0.8125,0.672727,0.5594
237,B_scale0.01,0.672999,0.6875,0.688668,0.5375
238,A_scale1.0,0.715793,0.5625,0.673102,0.5687
238,B_scale0.01,0.684644,0.4375,0.687939,0.5375
239,A_scale1.0,0.571487,0.7500,0.668133,0.5750
239,B_scale0.01,0.671350,0.5625,0.686294,0.5406
240,A_scale1.0,0.699293,0.4375,0.668855,0.5625
240,B_scale0.01,0.678504,0.6250,0.686249,0.5437
241,A_scale1.0,0.683748,0.5000,0.666912,0.5719
241,B_scale0.01,0.681103,0.5000,0.685313,0.5469
242,A_scale1.0,0.694817,0.5625,0.665103,0.5813
242,B_scale0.01,0.692142,0.4375,0.684768,0.5469
243,A_scale1.0,0.652455,0.6250,0.667702,0.5750
243,B_scale0.01,0.680567,0.5625,0.685551,0.5406
244,A_scale1.0,0.731913,0.3750,0.674896,0.5531
244,B_scale0.01,0.687874,0.5625,0.686858,0.5344
245,A_scale1.0,0.616571,0.8125,0.673668,0.5625
245,B_scale0.01,0.689389,0.5000,0.687237,0.5281
246,A_scale1.0,0.657614,0.5625,0.671884,0.5625
246,B_scale0.01,0.674427,0.5625,0.686602,0.5250
247,A_scale1.0,0.633572,0.6250,0.669172,0.5687
247,B_scale0.01,0.680264,0.6875,0.685862,0.5375
248,A_scale1.0,0.684012,0.5625,0.668548,0.5719
248,B_scale0.01,0.685487,0.6250,0.685647,0.5406
249,A_scale1.0,0.672813,0.6875,0.667361,0.5844
249,B_scale0.01,0.698038,0.4375,0.685613,0.5406
250,A_scale1.0,0.627774,0.7500,0.662811,0.6000
250,B_scale0.01,0.687665,0.6250,0.684827,0.5500
251,A_scale1.0,0.710546,0.5000,0.665522,0.5938
251,B_scale0.01,0.695969,0.4375,0.685285,0.5437
252,A_scale1.0,0.701299,0.5000,0.665908,0.6031
252,B_scale0.01,0.694509,0.5625,0.685336,0.5469
253,A_scale1.0,0.700803,0.5625,0.666003,0.6000
253,B_scale0.01,0.696578,0.6250,0.685639,0.5500
254,A_scale1.0,0.623525,0.7500,0.663019,0.6156
254,B_scale0.01,0.687261,0.5000,0.685240,0.5531
255,A_scale1.0,0.715328,0.4375,0.665932,0.6031
255,B_scale0.01,0.685706,0.6250,0.685402,0.5563
256,A_scale1.0,0.773204,0.3125,0.673235,0.5844
256,B_scale0.01,0.723891,0.3750,0.687418,0.5469
257,A_scale1.0,0.662457,0.5625,0.676451,0.5719
257,B_scale0.01,0.697437,0.5000,0.688640,0.5375
258,A_scale1.0,0.702699,0.5625,0.675797,0.5719
258,B_scale0.01,0.699372,0.3750,0.689377,0.5344
259,A_scale1.0,0.669858,0.6250,0.680715,0.5656
259,B_scale0.01,0.690517,0.5000,0.690335,0.5312
260,A_scale1.0,0.668306,0.5000,0.679166,0.5687
260,B_scale0.01,0.697045,0.3125,0.691262,0.5156
261,A_scale1.0,0.746397,0.5000,0.682298,0.5687
261,B_scale0.01,0.692480,0.4375,0.691831,0.5125
262,A_scale1.0,0.771814,0.4375,0.686148,0.5625
262,B_scale0.01,0.692866,0.5000,0.691867,0.5156
263,A_scale1.0,0.741883,0.3750,0.690619,0.5500
263,B_scale0.01,0.710994,0.4375,0.693388,0.5094
264,A_scale1.0,0.627635,0.6250,0.685406,0.5625
264,B_scale0.01,0.686691,0.4375,0.693329,0.5031
265,A_scale1.0,0.644107,0.5625,0.686782,0.5500
265,B_scale0.01,0.698060,0.3750,0.693763,0.4969
266,A_scale1.0,0.641950,0.6875,0.685999,0.5563
266,B_scale0.01,0.681621,0.5625,0.694123,0.4969
267,A_scale1.0,0.679170,0.6250,0.688279,0.5563
267,B_scale0.01,0.703971,0.4375,0.695308,0.4844
268,A_scale1.0,0.673753,0.5000,0.687766,0.5531
268,B_scale0.01,0.688957,0.5625,0.695481,0.4813
269,A_scale1.0,0.647660,0.6875,0.686508,0.5531
269,B_scale0.01,0.673559,0.6875,0.694257,0.4938
270,A_scale1.0,0.659746,0.5625,0.688107,0.5437
270,B_scale0.01,0.682640,0.6250,0.694006,0.4938
271,A_scale1.0,0.626925,0.8125,0.683926,0.5594
271,B_scale0.01,0.656336,0.6250,0.692025,0.5031
272,A_scale1.0,0.713577,0.3750,0.684540,0.5531
272,B_scale0.01,0.667331,0.6250,0.690666,0.5062
273,A_scale1.0,0.579195,0.8750,0.678459,0.5687
273,B_scale0.01,0.659492,0.6875,0.688811,0.5094
274,A_scale1.0,0.678528,0.5000,0.681210,0.5563
274,B_scale0.01,0.682500,0.5625,0.688573,0.5125
275,A_scale1.0,0.613518,0.8750,0.676119,0.5781
275,B_scale0.01,0.672590,0.6875,0.687918,0.5156
276,A_scale1.0,0.725883,0.3750,0.673753,0.5813
276,B_scale0.01,0.663058,0.7500,0.684876,0.5344
277,A_scale1.0,0.687813,0.3125,0.675021,0.5687
277,B_scale0.01,0.697479,0.5625,0.684878,0.5375
278,A_scale1.0,0.698394,0.5000,0.674806,0.5656
278,B_scale0.01,0.732618,0.4375,0.686540,0.5406
279,A_scale1.0,0.664209,0.6250,0.674523,0.5656
279,B_scale0.01,0.721611,0.3750,0.688095,0.5344
280,A_scale1.0,0.606420,0.7500,0.671429,0.5781
280,B_scale0.01,0.673966,0.6250,0.686941,0.5500
281,A_scale1.0,0.618352,0.6875,0.665027,0.5875
281,B_scale0.01,0.670369,0.5000,0.685835,0.5531
282,A_scale1.0,0.635136,0.6250,0.658193,0.5969
282,B_scale0.01,0.663560,0.6250,0.684370,0.5594
283,A_scale1.0,0.707156,0.3750,0.656456,0.5969
283,B_scale0.01,0.699815,0.5000,0.683811,0.5625
284,A_scale1.0,0.708831,0.4375,0.660516,0.5875
284,B_scale0.01,0.698238,0.3750,0.684389,0.5594
285,A_scale1.0,0.701375,0.5625,0.663380,0.5875
285,B_scale0.01,0.714164,0.3750,0.685194,0.5594
286,A_scale1.0,0.703297,0.5625,0.666447,0.5813
286,B_scale0.01,0.711144,0.3750,0.686670,0.5500
287,A_scale1.0,0.648252,0.6250,0.664901,0.5813
287,B_scale0.01,0.672512,0.6250,0.685097,0.5594
288,A_scale1.0,0.625106,0.6250,0.662469,0.5875
288,B_scale0.01,0.661108,0.6875,0.683704,0.5656
289,A_scale1.0,0.762771,0.3750,0.668224,0.5719
289,B_scale0.01,0.707131,0.4375,0.685383,0.5531
290,A_scale1.0,0.683056,0.5625,0.669390,0.5719
290,B_scale0.01,0.687486,0.6250,0.685625,0.5531
291,A_scale1.0,0.673539,0.4375,0.671720,0.5531
291,B_scale0.01,0.684127,0.5625,0.687015,0.5500
292,A_scale1.0,0.733472,0.3750,0.672715,0.5531
292,B_scale0.01,0.686219,0.5625,0.687959,0.5469
293,A_scale1.0,0.701539,0.5000,0.678832,0.5344
293,B_scale0.01,0.693699,0.3750,0.689670,0.5312
294,A_scale1.0,0.664831,0.5625,0.678147,0.5375
294,B_scale0.01,0.677350,0.6250,0.689412,0.5344
295,A_scale1.0,0.620502,0.7500,0.678497,0.5312
295,B_scale0.01,0.664484,0.5625,0.689007,0.5281
296,A_scale1.0,0.654388,0.5000,0.674922,0.5375
296,B_scale0.01,0.671251,0.6250,0.689417,0.5219
297,A_scale1.0,0.665875,0.6250,0.673825,0.5531
297,B_scale0.01,0.656513,0.6875,0.687368,0.5281
298,A_scale1.0,0.698357,0.6250,0.673823,0.5594
298,B_scale0.01,0.706967,0.4375,0.686086,0.5281
299,A_scale1.0,0.647285,0.6875,0.672977,0.5625
299,B_scale0.01,0.680875,0.5000,0.684049,0.5344
300,A_scale1.0,0.668434,0.5625,0.676078,0.5531
300,B_scale0.01,0.634103,0.6875,0.682056,0.5375
301,A_scale1.0,0.777901,0.5000,0.684055,0.5437
301,B_scale0.01,0.741585,0.3750,0.685617,0.5312
302,A_scale1.0,0.722175,0.4375,0.688407,0.5344
302,B_scale0.01,0.790404,0.2500,0.691959,0.5125
303,A_scale1.0,0.649335,0.6875,0.685516,0.5500
303,B_scale0.01,0.758182,0.3750,0.694877,0.5062
304,A_scale1.0,0.663200,0.5000,0.683234,0.5531
304,B_scale0.01,0.727533,0.4375,0.696342,0.5094
305,A_scale1.0,0.678423,0.5625,0.682087,0.5531
305,B_scale0.01,0.652814,0.6250,0.693274,0.5219
306,A_scale1.0,0.661433,0.5000,0.679994,0.5500
306,B_scale0.01,0.679733,0.5625,0.691704,0.5312
307,A_scale1.0,0.653484,0.6250,0.680255,0.5500
307,B_scale0.01,0.658364,0.7500,0.690996,0.5375
308,A_scale1.0,0.645494,0.6875,0.681275,0.5531
308,B_scale0.01,0.667165,0.6250,0.691299,0.5344
309,A_scale1.0,0.640007,0.5625,0.675136,0.5625
309,B_scale0.01,0.675203,0.6875,0.689703,0.5469
310,A_scale1.0,0.629225,0.6875,0.672445,0.5687
310,B_scale0.01,0.672302,0.6250,0.688944,0.5469
311,A_scale1.0,0.634968,0.6250,0.670516,0.5781
311,B_scale0.01,0.689728,0.5000,0.689224,0.5437
312,A_scale1.0,0.631503,0.8125,0.665418,0.6000
312,B_scale0.01,0.689632,0.4375,0.689394,0.5375
313,A_scale1.0,0.709044,0.5000,0.665793,0.6000
313,B_scale0.01,0.681108,0.6250,0.688765,0.5500
314,A_scale1.0,0.621888,0.7500,0.663646,0.6094
314,B_scale0.01,0.683178,0.6250,0.689056,0.5500
315,A_scale1.0,0.682891,0.6250,0.666765,0.6031
315,B_scale0.01,0.693246,0.4375,0.690494,0.5437
316,A_scale1.0,0.725067,0.3750,0.670299,0.5969
316,B_scale0.01,0.688149,0.5000,0.691339,0.5375
317,A_scale1.0,0.704844,0.5000,0.672248,0.5906
317,B_scale0.01,0.679962,0.6250,0.692512,0.5344
318,A_scale1.0,0.683530,0.4375,0.671507,0.5813
318,B_scale0.01,0.687934,0.5625,0.691560,0.5406
319,A_scale1.0,0.624236,0.5625,0.670354,0.5750
319,B_scale0.01,0.667926,0.6250,0.690912,0.5469
320,A_scale1.0,0.808256,0.1875,0.677345,0.5563
320,B_scale0.01,0.705348,0.4375,0.694475,0.5344
321,A_scale1.0,0.646187,0.6250,0.670760,0.5625
321,B_scale0.01,0.691983,0.3750,0.691995,0.5344
322,A_scale1.0,0.755310,0.4375,0.672416,0.5625
322,B_scale0.01,0.706267,0.3125,0.687788,0.5375
323,A_scale1.0,0.683454,0.5000,0.674122,0.5531
323,B_scale0.01,0.691069,0.5000,0.684432,0.5437
324,A_scale1.0,0.604379,0.8125,0.671181,0.5687
324,B_scale0.01,0.649291,0.7500,0.680520,0.5594
325,A_scale1.0,0.677574,0.4375,0.671139,0.5625
325,B_scale0.01,0.687028,0.5625,0.682231,0.5563
326,A_scale1.0,0.667481,0.5625,0.671441,0.5656
326,B_scale0.01,0.672584,0.7500,0.681873,0.5656
327,A_scale1.0,0.681294,0.5625,0.672832,0.5625
327,B_scale0.01,0.693422,0.5000,0.683626,0.5531
328,A_scale1.0,0.616086,0.7500,0.671361,0.5656
328,B_scale0.01,0.666715,0.6250,0.683604,0.5531
329,A_scale1.0,0.576503,0.6875,0.668186,0.5719
329,B_scale0.01,0.648314,0.6875,0.682259,0.5531
330,A_scale1.0,0.647341,0.5625,0.669092,0.5656
330,B_scale0.01,0.646985,0.7500,0.680993,0.5594
331,A_scale1.0,0.661206,0.5000,0.670404,0.5594
331,B_scale0.01,0.692169,0.5000,0.681115,0.5594
332,A_scale1.0,0.676445,0.4375,0.672651,0.5406
332,B_scale0.01,0.659309,0.6875,0.679599,0.5719
333,A_scale1.0,0.619670,0.7500,0.668182,0.5531
333,B_scale0.01,0.656238,0.7500,0.678356,0.5781
334,A_scale1.0,0.691175,0.5000,0.671647,0.5406
334,B_scale0.01,0.689301,0.4375,0.678662,0.5687
335,A_scale1.0,0.730776,0.3750,0.674041,0.5281
335,B_scale0.01,0.717745,0.3750,0.679887,0.5656
336,A_scale1.0,0.711185,0.5625,0.673347,0.5375
336,B_scale0.01,0.696329,0.5000,0.680296,0.5656
337,A_scale1.0,0.670757,0.6250,0.671642,0.5437
337,B_scale0.01,0.662552,0.7500,0.679425,0.5719
338,A_scale1.0,0.584490,0.6875,0.666690,0.5563
338,B_scale0.01,0.676372,0.6250,0.678847,0.5750
339,A_scale1.0,0.684786,0.3750,0.669718,0.5469
339,B_scale0.01,0.676935,0.5625,0.679298,0.5719
340,A_scale1.0,0.650478,0.5625,0.661829,0.5656
340,B_scale0.01,0.708320,0.4375,0.679446,0.5719
341,A_scale1.0,0.724572,0.5000,0.665748,0.5594
341,B_scale0.01,0.703887,0.5625,0.680042,0.5813
342,A_scale1.0,0.734534,0.5000,0.664709,0.5625
342,B_scale0.01,0.698618,0.4375,0.679659,0.5875
343,A_scale1.0,0.677042,0.5625,0.664389,0.5656
343,B_scale0.01,0.657797,0.6875,0.677996,0.5969
344,A_scale1.0,0.644360,0.5625,0.666388,0.5531
344,B_scale0.01,0.653163,0.6875,0.678189,0.5938
345,A_scale1.0,0.761804,0.3750,0.670599,0.5500
345,B_scale0.01,0.764467,0.3125,0.682061,0.5813
346,A_scale1.0,0.628480,0.6875,0.668649,0.5563
346,B_scale0.01,0.659465,0.6250,0.681405,0.5750
347,A_scale1.0,0.659658,0.6875,0.667567,0.5625
347,B_scale0.01,0.650239,0.5625,0.679246,0.5781
348,A_scale1.0,0.617977,0.6875,0.667662,0.5594
348,B_scale0.01,0.638837,0.6250,0.677852,0.5781
349,A_scale1.0,0.598748,0.7500,0.668774,0.5625
349,B_scale0.01,0.632093,0.6875,0.677041,0.5781
350,A_scale1.0,0.697431,0.5000,0.671279,0.5594
350,B_scale0.01,0.722571,0.5000,0.680820,0.5656
351,A_scale1.0,0.804561,0.3750,0.678446,0.5531
351,B_scale0.01,0.746837,0.4375,0.683554,0.5625
352,A_scale1.0,0.672069,0.5000,0.678228,0.5563
352,B_scale0.01,0.641529,0.6875,0.682665,0.5625
353,A_scale1.0,0.668491,0.5625,0.680669,0.5469
353,B_scale0.01,0.681209,0.5625,0.683913,0.5531
354,A_scale1.0,0.646562,0.5625,0.678438,0.5500
354,B_scale0.01,0.657275,0.5625,0.682312,0.5594
355,A_scale1.0,0.672800,0.5000,0.675539,0.5563
355,B_scale0.01,0.679228,0.6250,0.680386,0.5719
356,A_scale1.0,0.632414,0.6250,0.671601,0.5594
356,B_scale0.01,0.657304,0.6250,0.678435,0.5781
357,A_scale1.0,0.647715,0.5625,0.670449,0.5563
357,B_scale0.01,0.701401,0.5625,0.680377,0.5687
358,A_scale1.0,0.691396,0.4375,0.675794,0.5437
358,B_scale0.01,0.736094,0.4375,0.683364,0.5594
359,A_scale1.0,0.762506,0.3750,0.679680,0.5437
359,B_scale0.01,0.621569,0.7500,0.680595,0.5687
360,A_scale1.0,0.621034,0.6875,0.678208,0.5500
360,B_scale0.01,0.693142,0.5000,0.679836,0.5719
361,A_scale1.0,0.693567,0.5000,0.676657,0.5500
361,B_scale0.01,0.777790,0.3125,0.683531,0.5594
362,A_scale1.0,0.653766,0.6250,0.672619,0.5563
362,B_scale0.01,0.712344,0.5000,0.684218,0.5625
363,A_scale1.0,0.646727,0.6250,0.671103,0.5594
363,B_scale0.01,0.744407,0.3125,0.688548,0.5437
364,A_scale1.0,0.640732,0.5625,0.670922,0.5594
364,B_scale0.01,0.743757,0.3125,0.693078,0.5250
365,A_scale1.0,0.720969,0.6250,0.668880,0.5719
365,B_scale0.01,0.716426,0.3125,0.690676,0.5250
366,A_scale1.0,0.736017,0.4375,0.674257,0.5594
366,B_scale0.01,0.674978,0.5000,0.691451,0.5188
367,A_scale1.0,0.715222,0.4375,0.677035,0.5469
367,B_scale0.01,0.669147,0.6250,0.692397,0.5219
368,A_scale1.0,0.792385,0.3750,0.685756,0.5312
368,B_scale0.01,0.722955,0.3750,0.696603,0.5094
369,A_scale1.0,0.686215,0.5000,0.690129,0.5188
369,B_scale0.01,0.685626,0.6875,0.699279,0.5094
370,A_scale1.0,0.668243,0.5000,0.688669,0.5188
370,B_scale0.01,0.678122,0.5625,0.697057,0.5125
371,A_scale1.0,0.633297,0.5625,0.680106,0.5281
371,B_scale0.01,0.665105,0.7500,0.692970,0.5281
372,A_scale1.0,0.629856,0.8125,0.677996,0.5437
372,B_scale0.01,0.664778,0.6250,0.694133,0.5250
373,A_scale1.0,0.716497,0.4375,0.680396,0.5375
373,B_scale0.01,0.700649,0.5000,0.695105,0.5219
374,A_scale1.0,0.683884,0.5625,0.682262,0.5375
374,B_scale0.01,0.689993,0.5625,0.696741,0.5219
375,A_scale1.0,0.739677,0.4375,0.685606,0.5344
375,B_scale0.01,0.723796,0.4375,0.698969,0.5125
376,A_scale1.0,0.566702,0.8750,0.682320,0.5469
376,B_scale0.01,0.675109,0.6875,0.699860,0.5156
377,A_scale1.0,0.623798,0.6875,0.681124,0.5531
377,B_scale0.01,0.677125,0.5625,0.698646,0.5156
378,A_scale1.0,0.654033,0.6250,0.679256,0.5625
378,B_scale0.01,0.688704,0.6250,0.696276,0.5250
379,A_scale1.0,0.648303,0.5625,0.673546,0.5719
379,B_scale0.01,0.688864,0.5625,0.699641,0.5156
380,A_scale1.0,0.712357,0.3125,0.678112,0.5531
380,B_scale0.01,0.679547,0.4375,0.698961,0.5125
381,A_scale1.0,0.667701,0.6875,0.676819,0.5625
381,B_scale0.01,0.662300,0.6250,0.693187,0.5281
382,A_scale1.0,0.685585,0.6250,0.678410,0.5625
382,B_scale0.01,0.676751,0.5000,0.691407,0.5281
383,A_scale1.0,0.745928,0.3750,0.683370,0.5500
383,B_scale0.01,0.701560,0.4375,0.689265,0.5344
384,A_scale1.0,0.628185,0.5625,0.682743,0.5500
384,B_scale0.01,0.662823,0.6250,0.685218,0.5500
385,A_scale1.0,0.694092,0.6250,0.681399,0.5500
385,B_scale0.01,0.702401,0.4375,0.684517,0.5563
386,A_scale1.0,0.686670,0.5625,0.678931,0.5563
386,B_scale0.01,0.694011,0.4375,0.685469,0.5531
387,A_scale1.0,0.702005,0.5000,0.678271,0.5594
387,B_scale0.01,0.684607,0.5625,0.686242,0.5500
388,A_scale1.0,0.620029,0.7500,0.669653,0.5781
388,B_scale0.01,0.673643,0.6250,0.683776,0.5625
389,A_scale1.0,0.634931,0.6250,0.667089,0.5844
389,B_scale0.01,0.684133,0.5625,0.683701,0.5563
390,A_scale1.0,0.635559,0.6250,0.665454,0.5906
390,B_scale0.01,0.664250,0.8750,0.683008,0.5719
391,A_scale1.0,0.550649,0.8750,0.661322,0.6062
391,B_scale0.01,0.684213,0.6250,0.683963,0.5656
392,A_scale1.0,0.702005,0.3750,0.664929,0.5844
392,B_scale0.01,0.660902,0.7500,0.683769,0.5719
393,A_scale1.0,0.737141,0.4375,0.665962,0.5844
393,B_scale0.01,0.697937,0.5000,0.683634,0.5719
394,A_scale1.0,0.616568,0.6250,0.662596,0.5875
394,B_scale0.01,0.687865,0.5625,0.683527,0.5719
395,A_scale1.0,0.654417,0.6250,0.658333,0.5969
395,B_scale0.01,0.709254,0.5000,0.682800,0.5750
396,A_scale1.0,0.721662,0.4375,0.666081,0.5750
396,B_scale0.01,0.685568,0.5000,0.683323,0.5656
397,A_scale1.0,0.680002,0.6250,0.668891,0.5719
397,B_scale0.01,0.697738,0.5625,0.684354,0.5656
398,A_scale1.0,0.711210,0.5000,0.671750,0.5656
398,B_scale0.01,0.686831,0.4375,0.684260,0.5563
399,A_scale1.0,0.675164,0.5000,0.673093,0.5625
399,B_scale0.01,0.684592,0.5625,0.684046,0.5563
400,A_scale1.0,0.745673,0.3750,0.674759,0.5656
400,B_scale0.01,0.723434,0.3125,0.686241,0.5500
401,A_scale1.0,0.645964,0.5000,0.673672,0.5563
401,B_scale0.01,0.693859,0.5000,0.687819,0.5437
402,A_scale1.0,0.680029,0.5625,0.673394,0.5531
402,B_scale0.01,0.691343,0.5000,0.688548,0.5437
403,A_scale1.0,0.657498,0.6250,0.668973,0.5656
403,B_scale0.01,0.673750,0.6250,0.687158,0.5531
404,A_scale1.0,0.668075,0.5000,0.670967,0.5625
404,B_scale0.01,0.695042,0.4375,0.688769,0.5437
405,A_scale1.0,0.651768,0.5625,0.668851,0.5594
405,B_scale0.01,0.695143,0.3750,0.688406,0.5406
406,A_scale1.0,0.668799,0.5625,0.667957,0.5594
406,B_scale0.01,0.684518,0.6250,0.687931,0.5500
407,A_scale1.0,0.651509,0.7500,0.665433,0.5719
407,B_scale0.01,0.656041,0.7500,0.686503,0.5594
408,A_scale1.0,0.716024,0.4375,0.670232,0.5563
408,B_scale0.01,0.723515,0.4375,0.688996,0.5500
409,A_scale1.0,0.689161,0.5625,0.672944,0.5531
409,B_scale0.01,0.677880,0.6250,0.688684,0.5531
410,A_scale1.0,0.698267,0.5000,0.676079,0.5469
410,B_scale0.01,0.699375,0.5625,0.690440,0.5375
411,A_scale1.0,0.683227,0.4375,0.682708,0.5250
411,B_scale0.01,0.693575,0.5000,0.690908,0.5312
412,A_scale1.0,0.590055,0.8125,0.677111,0.5469
412,B_scale0.01,0.664974,0.5625,0.691112,0.5219
413,A_scale1.0,0.735994,0.3750,0.677053,0.5437
413,B_scale0.01,0.689048,0.5000,0.690667,0.5219
414,A_scale1.0,0.630415,0.6250,0.677746,0.5437
414,B_scale0.01,0.681447,0.5625,0.690346,0.5219
415,A_scale1.0,0.685472,0.5000,0.679298,0.5375
415,B_scale0.01,0.676185,0.5000,0.688693,0.5219
416,A_scale1.0,0.689991,0.4375,0.677715,0.5375
416,B_scale0.01,0.667643,0.6250,0.687797,0.5281
417,A_scale1.0,0.582229,0.6875,0.672826,0.5406
417,B_scale0.01,0.640604,0.8125,0.684940,0.5406
418,A_scale1.0,0.663187,0.6875,0.670425,0.5500
418,B_scale0.01,0.679729,0.6250,0.684585,0.5500
419,A_scale1.0,0.660639,0.5625,0.669699,0.5531
419,B_scale0.01,0.689481,0.5000,0.684829,0.5469
420,A_scale1.0,0.626743,0.6875,0.663752,0.5687
420,B_scale0.01,0.682962,0.6250,0.682806,0.5625
421,A_scale1.0,0.665989,0.6250,0.664754,0.5750
421,B_scale0.01,0.695625,0.3750,0.682894,0.5563
422,A_scale1.0,0.623289,0.8125,0.661917,0.5875
422,B_scale0.01,0.677448,0.5625,0.682199,0.5594
423,A_scale1.0,0.706464,0.5000,0.664365,0.5813
423,B_scale0.01,0.685167,0.5625,0.682770,0.5563
424,A_scale1.0,0.626276,0.6250,0.662275,0.5875
424,B_scale0.01,0.662038,0.7500,0.681120,0.5719
425,A_scale1.0,0.711402,0.5625,0.665257,0.5875
425,B_scale0.01,0.686738,0.4375,0.680700,0.5750
426,A_scale1.0,0.620977,0.6250,0.662865,0.5906
426,B_scale0.01,0.700228,0.3750,0.681485,0.5625
427,A_scale1.0,0.709450,0.4375,0.665762,0.5750
427,B_scale0.01,0.682155,0.6250,0.682791,0.5563
428,A_scale1.0,0.639588,0.6875,0.661941,0.5875
428,B_scale0.01,0.672438,0.7500,0.680237,0.5719
429,A_scale1.0,0.662387,0.6250,0.660602,0.5906
429,B_scale0.01,0.675821,0.3750,0.680134,0.5594
430,A_scale1.0,0.601144,0.6250,0.655746,0.5969
430,B_scale0.01,0.662271,0.8750,0.678279,0.5750
431,A_scale1.0,0.655878,0.6250,0.654378,0.6062
431,B_scale0.01,0.673330,0.6875,0.677267,0.5844
432,A_scale1.0,0.634144,0.6875,0.656583,0.6000
432,B_scale0.01,0.682713,0.6875,0.678154,0.5906
433,A_scale1.0,0.645317,0.6875,0.652049,0.6156
433,B_scale0.01,0.666072,0.6875,0.677005,0.6000
434,A_scale1.0,0.596502,0.6875,0.650353,0.6188
434,B_scale0.01,0.650662,0.7500,0.675465,0.6094
435,A_scale1.0,0.689485,0.5000,0.650554,0.6188
435,B_scale0.01,0.690109,0.5625,0.676162,0.6125
436,A_scale1.0,0.644941,0.6250,0.648302,0.6281
436,B_scale0.01,0.657327,0.6875,0.675646,0.6156
437,A_scale1.0,0.655125,0.5625,0.651946,0.6219
437,B_scale0.01,0.663345,0.6875,0.676783,0.6094
438,A_scale1.0,0.758445,0.3750,0.656709,0.6062
438,B_scale0.01,0.705749,0.3750,0.678084,0.5969
439,A_scale1.0,0.679551,0.5000,0.657655,0.6031
439,B_scale0.01,0.704259,0.5000,0.678823,0.5969
440,A_scale1.0,0.730389,0.3750,0.662837,0.5875
440,B_scale0.01,0.705526,0.4375,0.679951,0.5875
441,A_scale1.0,0.704546,0.5000,0.664765,0.5813
441,B_scale0.01,0.690702,0.4375,0.679705,0.5906
442,A_scale1.0,0.721316,0.4375,0.669666,0.5625
442,B_scale0.01,0.714859,0.4375,0.681575,0.5844
443,A_scale1.0,0.637251,0.7500,0.666206,0.5750
443,B_scale0.01,0.686260,0.5625,0.681630,0.5844
444,A_scale1.0,0.727293,0.5000,0.671257,0.5687
444,B_scale0.01,0.697848,0.5000,0.683420,0.5719
445,A_scale1.0,0.631019,0.6250,0.667237,0.5719
445,B_scale0.01,0.646166,0.6875,0.681392,0.5844
446,A_scale1.0,0.681358,0.5000,0.670256,0.5656
446,B_scale0.01,0.687026,0.4375,0.680732,0.5875
447,A_scale1.0,0.699261,0.5000,0.669747,0.5687
447,B_scale0.01,0.721244,0.4375,0.682686,0.5781
448,A_scale1.0,0.677247,0.6250,0.671630,0.5656
448,B_scale0.01,0.670962,0.7500,0.682613,0.5781
449,A_scale1.0,0.724646,0.4375,0.674743,0.5563
449,B_scale0.01,0.698348,0.5000,0.683739,0.5844
450,A_scale1.0,0.674647,0.6250,0.678418,0.5563
450,B_scale0.01,0.694071,0.5000,0.685329,0.5656
451,A_scale1.0,0.629524,0.7500,0.677100,0.5625
451,B_scale0.01,0.655936,0.7500,0.684459,0.5687
452,A_scale1.0,0.660051,0.5625,0.678396,0.5563
452,B_scale0.01,0.674309,0.5625,0.684039,0.5625
453,A_scale1.0,0.646161,0.7500,0.678438,0.5594
453,B_scale0.01,0.663334,0.6875,0.683902,0.5625
454,A_scale1.0,0.793387,0.3125,0.688282,0.5406
454,B_scale0.01,0.720786,0.3750,0.687408,0.5437
455,A_scale1.0,0.655889,0.5625,0.686602,0.5437
455,B_scale0.01,0.685636,0.6250,0.687185,0.5469
456,A_scale1.0,0.711730,0.4375,0.689942,0.5344
456,B_scale0.01,0.677431,0.5625,0.688190,0.5406
457,A_scale1.0,0.666121,0.5625,0.690492,0.5344
457,B_scale0.01,0.672738,0.6250,0.688660,0.5375
458,A_scale1.0,0.666610,0.7500,0.685900,0.5531
458,B_scale0.01,0.703359,0.3750,0.688540,0.5375
459,A_scale1.0,0.705205,0.4375,0.687183,0.5500
459,B_scale0.01,0.690141,0.5625,0.687834,0.5406
460,A_scale1.0,0.684384,0.6250,0.684882,0.5625
460,B_scale0.01,0.673170,0.5625,0.686216,0.5469
461,A_scale1.0,0.778101,0.5000,0.688560,0.5625
461,B_scale0.01,0.718963,0.3750,0.687629,0.5437
462,A_scale1.0,0.654568,0.6875,0.685223,0.5750
462,B_scale0.01,0.673001,0.6250,0.685537,0.5531
463,A_scale1.0,0.750485,0.3125,0.690884,0.5531
463,B_scale0.01,0.724359,0.4375,0.687441,0.5469
464,A_scale1.0,0.723387,0.3750,0.690689,0.5469
464,B_scale0.01,0.664655,0.6250,0.685782,0.5531
