step,model,loss,acc,avg_loss_20,avg_acc_20
47,A_scale1.0,0.688027,0.5000,0.693714,0.5094
47,B_scale0.01,0.685601,0.5625,0.691749,0.5375
48,A_scale1.0,0.668459,0.6250,0.691189,0.5250
48,B_scale0.01,0.674363,0.6250,0.691362,0.5344
49,A_scale1.0,0.651557,0.6875,0.688392,0.5375
49,B_scale0.01,0.662780,0.6875,0.689934,0.5406
50,A_scale1.0,0.722746,0.3750,0.692212,0.5250
50,B_scale0.01,0.715319,0.4375,0.691060,0.5437
51,A_scale1.0,0.707467,0.3750,0.691718,0.5219
51,B_scale0.01,0.723656,0.3750,0.692614,0.5375
52,A_scale1.0,0.724476,0.3125,0.693520,0.5125
52,B_scale0.01,0.737028,0.3125,0.694982,0.5250
53,A_scale1.0,0.694725,0.4375,0.692134,0.5188
53,B_scale0.01,0.701213,0.4375,0.694993,0.5281
54,A_scale1.0,0.680171,0.6250,0.692234,0.5250
54,B_scale0.01,0.646805,0.8125,0.692780,0.5437
55,A_scale1.0,0.689309,0.5625,0.692836,0.5281
55,B_scale0.01,0.723114,0.3125,0.694451,0.5344
56,A_scale1.0,0.707623,0.5000,0.693788,0.5281
56,B_scale0.01,0.686194,0.5625,0.694003,0.5375
57,A_scale1.0,0.674392,0.6250,0.692593,0.5375
57,B_scale0.01,0.718479,0.2500,0.695129,0.5281
58,A_scale1.0,0.662675,0.6250,0.691619,0.5344
58,B_scale0.01,0.705427,0.3125,0.696004,0.5125
59,A_scale1.0,0.696703,0.5625,0.692864,0.5250
59,B_scale0.01,0.691420,0.5000,0.696848,0.4906
60,A_scale1.0,0.744383,0.3750,0.695866,0.5125
60,B_scale0.01,0.693570,0.4375,0.696931,0.4875
61,A_scale1.0,0.722409,0.5000,0.697336,0.5156
61,B_scale0.01,0.692418,0.5000,0.696745,0.4906
62,A_scale1.0,0.693828,0.5625,0.698917,0.5094
62,B_scale0.01,0.688806,0.5625,0.697804,0.4813
63,A_scale1.0,0.681462,0.5625,0.696439,0.5188
63,B_scale0.01,0.687038,0.5625,0.696070,0.4906
64,A_scale1.0,0.724234,0.4375,0.694897,0.5219
64,B_scale0.01,0.704135,0.4375,0.695081,0.4938
65,A_scale1.0,0.673316,0.5625,0.695396,0.5156
65,B_scale0.01,0.686809,0.5625,0.695952,0.4875
66,A_scale1.0,0.688114,0.5000,0.694804,0.5156
66,B_scale0.01,0.687500,0.5625,0.695584,0.4906
67,A_scale1.0,0.663455,0.6250,0.693575,0.5219
67,B_scale0.01,0.687505,0.5625,0.695679,0.4906
68,A_scale1.0,0.672226,0.6875,0.693764,0.5250
68,B_scale0.01,0.665175,0.6875,0.695220,0.4938
69,A_scale1.0,0.689604,0.5000,0.695666,0.5156
69,B_scale0.01,0.707645,0.4375,0.697463,0.4813
70,A_scale1.0,0.703577,0.6250,0.694707,0.5281
70,B_scale0.01,0.710779,0.4375,0.697236,0.4813
71,A_scale1.0,0.704007,0.2500,0.694534,0.5219
71,B_scale0.01,0.722790,0.3750,0.697193,0.4813
72,A_scale1.0,0.694443,0.3750,0.693033,0.5250
72,B_scale0.01,0.671813,0.6250,0.693932,0.4969
73,A_scale1.0,0.688630,0.5625,0.692728,0.5312
73,B_scale0.01,0.680460,0.5625,0.692894,0.5031
74,A_scale1.0,0.686189,0.6250,0.693029,0.5312
74,B_scale0.01,0.687830,0.5625,0.694945,0.4906
75,A_scale1.0,0.691443,0.6250,0.693136,0.5344
75,B_scale0.01,0.726378,0.3750,0.695109,0.4938
76,A_scale1.0,0.679471,0.5625,0.691728,0.5375
76,B_scale0.01,0.695222,0.5000,0.695560,0.4906
77,A_scale1.0,0.676370,0.5000,0.691827,0.5312
77,B_scale0.01,0.697729,0.5000,0.694522,0.5031
78,A_scale1.0,0.670224,0.7500,0.692205,0.5375
78,B_scale0.01,0.697143,0.5000,0.694108,0.5125
79,A_scale1.0,0.678840,0.6250,0.691311,0.5406
79,B_scale0.01,0.697368,0.5000,0.694406,0.5125
80,A_scale1.0,0.691791,0.5625,0.688682,0.5500
80,B_scale0.01,0.671112,0.6875,0.693283,0.5250
81,A_scale1.0,0.684970,0.5000,0.686810,0.5500
81,B_scale0.01,0.682585,0.6250,0.692791,0.5312
82,A_scale1.0,0.710442,0.3125,0.687640,0.5375
82,B_scale0.01,0.709485,0.3125,0.693825,0.5188
83,A_scale1.0,0.686728,0.4375,0.687904,0.5312
83,B_scale0.01,0.695366,0.5000,0.694241,0.5156
84,A_scale1.0,0.687415,0.6875,0.686063,0.5437
84,B_scale0.01,0.691596,0.5000,0.693615,0.5188
85,A_scale1.0,0.693274,0.4375,0.687061,0.5375
85,B_scale0.01,0.688305,0.6250,0.693689,0.5219
86,A_scale1.0,0.679288,0.6875,0.686619,0.5469
86,B_scale0.01,0.688923,0.5625,0.693761,0.5219
87,A_scale1.0,0.684343,0.6250,0.687664,0.5469
87,B_scale0.01,0.704657,0.1250,0.694618,0.5000
88,A_scale1.0,0.693288,0.5000,0.688717,0.5375
88,B_scale0.01,0.693748,0.4375,0.696047,0.4875
89,A_scale1.0,0.683459,0.6250,0.688410,0.5437
89,B_scale0.01,0.688542,0.5625,0.695092,0.4938
90,A_scale1.0,0.701857,0.4375,0.688324,0.5344
90,B_scale0.01,0.692338,0.4375,0.694170,0.4938
91,A_scale1.0,0.686666,0.4375,0.687457,0.5437
91,B_scale0.01,0.692428,0.4375,0.692651,0.4969
92,A_scale1.0,0.706687,0.5000,0.688069,0.5500
92,B_scale0.01,0.697715,0.5000,0.693947,0.4906
93,A_scale1.0,0.712695,0.3750,0.689272,0.5406
93,B_scale0.01,0.705423,0.3750,0.695195,0.4813
94,A_scale1.0,0.699536,0.4375,0.689939,0.5312
94,B_scale0.01,0.709791,0.3125,0.696293,0.4688
95,A_scale1.0,0.686625,0.5000,0.689699,0.5250
95,B_scale0.01,0.690014,0.5000,0.694475,0.4750
96,A_scale1.0,0.681206,0.6250,0.689785,0.5281
96,B_scale0.01,0.697045,0.3750,0.694566,0.4688
97,A_scale1.0,0.767370,0.4375,0.694335,0.5250
97,B_scale0.01,0.690068,0.5625,0.694183,0.4719
98,A_scale1.0,0.658993,0.6250,0.693774,0.5188
98,B_scale0.01,0.685861,0.5625,0.693619,0.4750
99,A_scale1.0,0.677340,0.5625,0.693699,0.5156
99,B_scale0.01,0.687289,0.7500,0.693115,0.4875
100,A_scale1.0,0.713456,0.4375,0.694782,0.5094
100,B_scale0.01,0.694465,0.3750,0.694282,0.4719
101,A_scale1.0,0.718315,0.3125,0.696449,0.5000
101,B_scale0.01,0.692163,0.5625,0.694761,0.4688
102,A_scale1.0,0.724188,0.3125,0.697137,0.5000
102,B_scale0.01,0.690828,0.6250,0.693828,0.4844
103,A_scale1.0,0.675680,0.7500,0.696584,0.5156
103,B_scale0.01,0.694123,0.3125,0.693766,0.4750
104,A_scale1.0,0.664427,0.6250,0.695435,0.5125
104,B_scale0.01,0.695682,0.5625,0.693970,0.4781
105,A_scale1.0,0.671727,0.5625,0.694357,0.5188
105,B_scale0.01,0.694342,0.5625,0.694272,0.4750
106,A_scale1.0,0.691353,0.6875,0.694961,0.5188
106,B_scale0.01,0.691281,0.5625,0.694390,0.4750
107,A_scale1.0,0.668657,0.5625,0.694176,0.5156
107,B_scale0.01,0.693955,0.4375,0.693855,0.4906
108,A_scale1.0,0.680912,0.5625,0.693557,0.5188
108,B_scale0.01,0.687825,0.6875,0.693559,0.5031
109,A_scale1.0,0.682288,0.5000,0.693499,0.5125
109,B_scale0.01,0.691227,0.6875,0.693693,0.5094
110,A_scale1.0,0.680339,0.5000,0.692423,0.5156
110,B_scale0.01,0.683654,0.8125,0.693259,0.5281
111,A_scale1.0,0.670744,0.6875,0.691627,0.5281
111,B_scale0.01,0.686857,0.6250,0.692980,0.5375
112,A_scale1.0,0.667785,0.5000,0.689682,0.5281
112,B_scale0.01,0.685787,0.5000,0.692384,0.5375
113,A_scale1.0,0.691525,0.4375,0.688623,0.5312
113,B_scale0.01,0.694187,0.3750,0.691822,0.5375
114,A_scale1.0,0.672329,0.6250,0.687263,0.5406
114,B_scale0.01,0.683702,0.5625,0.690518,0.5500
115,A_scale1.0,0.708603,0.5000,0.688362,0.5406
115,B_scale0.01,0.697142,0.5000,0.690874,0.5500
116,A_scale1.0,0.662353,0.5625,0.687419,0.5375
116,B_scale0.01,0.686434,0.5625,0.690344,0.5594
117,A_scale1.0,0.723478,0.3750,0.685225,0.5344
117,B_scale0.01,0.712167,0.3750,0.691448,0.5500
118,A_scale1.0,0.704214,0.5000,0.687486,0.5281
118,B_scale0.01,0.687654,0.5000,0.691538,0.5469
119,A_scale1.0,0.673265,0.5000,0.687282,0.5250
119,B_scale0.01,0.689441,0.5000,0.691646,0.5344
120,A_scale1.0,0.689997,0.5625,0.686109,0.5312
120,B_scale0.01,0.679856,0.5625,0.690915,0.5437
121,A_scale1.0,0.691882,0.5000,0.684787,0.5406
121,B_scale0.01,0.695521,0.5000,0.691083,0.5406
122,A_scale1.0,0.651485,0.6250,0.681152,0.5563
122,B_scale0.01,0.676871,0.6250,0.690385,0.5406
123,A_scale1.0,0.720566,0.3750,0.683396,0.5375
123,B_scale0.01,0.700734,0.4375,0.690716,0.5469
124,A_scale1.0,0.689609,0.5000,0.684656,0.5312
124,B_scale0.01,0.700818,0.3750,0.690973,0.5375
125,A_scale1.0,0.688464,0.5000,0.685492,0.5281
125,B_scale0.01,0.693643,0.5000,0.690938,0.5344
126,A_scale1.0,0.672771,0.6250,0.684563,0.5250
126,B_scale0.01,0.697447,0.3750,0.691246,0.5250
127,A_scale1.0,0.660735,0.5625,0.684167,0.5250
127,B_scale0.01,0.690908,0.5000,0.691094,0.5281
128,A_scale1.0,0.674855,0.6875,0.683864,0.5312
128,B_scale0.01,0.680157,0.5625,0.690710,0.5219
129,A_scale1.0,0.711897,0.5625,0.685345,0.5344
129,B_scale0.01,0.695400,0.5000,0.690919,0.5125
130,A_scale1.0,0.707371,0.3750,0.686696,0.5281
130,B_scale0.01,0.685757,0.6875,0.691024,0.5062
131,A_scale1.0,0.643606,0.5625,0.685339,0.5219
131,B_scale0.01,0.685396,0.5000,0.690951,0.5000
132,A_scale1.0,0.712746,0.4375,0.687588,0.5188
132,B_scale0.01,0.693590,0.5000,0.691341,0.5000
